# Logfile created on 2020-11-10 11:49:37 +0100 by logger.rb/56815
I, [2020-11-10T11:49:43.045794 #20436]  INFO -- : lab.rism: Source #240369 moved 787 to 599 with content 'Art 234. O Gott! du Tiefe sonder Grund.; (OCoLC)946157738'
I, [2020-11-10T11:49:43.045879 #20436]  INFO -- : lab.rism: Source #240369 moved 787 to 599 with content '(OCoLC)891759070'
I, [2020-11-10T11:49:43.142456 #20436]  INFO -- : lab.rism: Source #240371 moved 787 to 599 with content 'Art 234. O Gott! du Tiefe sonder Grund; (OCoLC)946157738'
I, [2020-11-10T11:49:43.223649 #20436]  INFO -- : lab.rism: Source #240378 moved 787 to 599 with content '22a. Die Seele Christi heilge mich; (OCoLC)946157738'
I, [2020-11-10T11:49:43.283074 #20436]  INFO -- : lab.rism: Source #240382 moved 787 to 599 with content '(OCoLC)891759229'
I, [2020-11-10T11:49:43.364654 #20436]  INFO -- : lab.rism: Source #240383 moved 787 to 599 with content '(OCoLC)891758875'
I, [2020-11-10T11:49:43.438900 #20436]  INFO -- : lab.rism: Source #240394 moved 787 to 599 with content 'Art 217b. Gott sen gelobet und gebenedenet! #w (OCoLC)946157738'
I, [2020-11-10T11:49:43.489152 #20436]  INFO -- : lab.rism: Source #240395 moved 787 to 599 with content 'Art. 225. Singt dem Hern; nah und fern; (OCoLC)946157738'
I, [2020-11-10T11:49:43.540057 #20436]  INFO -- : lab.rism: Source #240396 moved 787 to 599 with content 'Art 119. Fahre fort. Zion fahre fort im Licht.; (OCoLC)946157738'
I, [2020-11-10T11:49:43.613707 #20436]  INFO -- : lab.rism: Source #240403 moved 787 to 599 with content 'Art 497. O wir armen Sünder; (OCoLC)946157738'
I, [2020-11-10T11:49:43.680867 #20436]  INFO -- : lab.rism: Source #240404 moved 787 to 599 with content 'Art 32a. Du Geist des Herrn, der du von Gott ausgehst; (OCoLC)946157738'
I, [2020-11-10T11:49:43.752421 #20436]  INFO -- : lab.rism: Source #240436 moved 787 to 599 with content 'Art. 235a. Te Deum Laudamus.; (OCoLC)946157738'
I, [2020-11-10T11:49:43.825292 #20436]  INFO -- : lab.rism: Source #240440 moved 787 to 599 with content 'Art 539. Enthalt Melodien zur Kirchen Litanen; (OCoLC)946157738'
I, [2020-11-10T11:49:43.905742 #20436]  INFO -- : lab.rism: Source #240444 moved 787 to 599 with content '58C 58th Meter (second part).; (OCoLC)9720116'
I, [2020-11-10T11:49:43.956795 #20436]  INFO -- : lab.rism: Source #240448 moved 787 to 599 with content 'Art 194. Komm himmlischer Regen; (OCoLC)946157738'
I, [2020-11-10T11:49:44.007641 #20436]  INFO -- : lab.rism: Source #240473 moved 787 to 599 with content 'Art 230. Wachet auf, ruft uns die Stimme.; (OCoLC)946157738'
I, [2020-11-10T11:49:44.113769 #20436]  INFO -- : lab.rism: Source #240479 moved 787 to 599 with content 'Art 337a. Was gern sein' Ruhe hätt'; (OCoLC)946157738'
I, [2020-11-10T11:49:44.220464 #20436]  INFO -- : lab.rism: Source #240480 moved 787 to 599 with content '(OCoLC)891759880'
I, [2020-11-10T11:49:44.220555 #20436]  INFO -- : lab.rism: Source #240480 moved 787 to 599 with content 'Art 337a. Was gern sein' Ruhe hätt'; (OCoLC)946157738'
I, [2020-11-10T11:49:44.292852 #20436]  INFO -- : lab.rism: Source #240488 moved 787 to 599 with content 'Art 82c Weil die Worte Wahrheit sind; (OCoLC)946157738'
I, [2020-11-10T11:49:44.349303 #20436]  INFO -- : lab.rism: Source #240491 moved 787 to 599 with content 'Art 124. Wenn erblick ich doch einmal; (OCoLC)946157738'
I, [2020-11-10T11:49:44.441238 #20436]  INFO -- : lab.rism: Source #240498 moved 787 to 599 with content '(OCoLC)891759073'
I, [2020-11-10T11:49:44.441319 #20436]  INFO -- : lab.rism: Source #240498 moved 787 to 599 with content '(OCoLC)891763305'
I, [2020-11-10T11:49:44.562587 #20436]  INFO -- : lab.rism: Source #240501 moved 787 to 599 with content 'Art 325. Wir gläuben all' und bekennen frey; (OCoLC)946157738'
