# Logfile created on 2017-02-13 12:35:04 +0100 by logger.rb/44203
I, [2017-02-13T12:35:07.470232 #12085]  INFO -- : lab.rism: Size of collection --> 3907
I, [2017-02-13T12:40:45.993027 #12606]  INFO -- : lab.rism: Source #190025643 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.999118 #12606]  INFO -- : lab.rism: Source #190025649 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.006534 #12606]  INFO -- : lab.rism: Source #190025650 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.012562 #12606]  INFO -- : lab.rism: Source #190025651 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.018695 #12606]  INFO -- : lab.rism: Source #190025661 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.022452 #12606]  INFO -- : lab.rism: Source #190025663 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.036734 #12606]  INFO -- : lab.rism: Source #190025665 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.043225 #12606]  INFO -- : lab.rism: Source #190025685 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:46.047539 #12606]  INFO -- : lab.rism: Source #190025772 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:46.054381 #12606]  INFO -- : lab.rism: Source #190025792 add tag 500$a with content 'Commment on scoring: bc: vlne'
I, [2017-02-13T12:40:46.068100 #12606]  INFO -- : lab.rism: Source #190025842 add tag 500$a with content 'Commment on scoring: bc: vlne, org'
I, [2017-02-13T12:40:46.073607 #12606]  INFO -- : lab.rism: Source #190025862 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.078254 #12606]  INFO -- : lab.rism: Source #190025863 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:46.084739 #12606]  INFO -- : lab.rism: Source #190025878 add tag 500$a with content 'Commment on scoring: bc: vlne'
I, [2017-02-13T12:40:46.092655 #12606]  INFO -- : lab.rism: Source #190026053 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.099429 #12606]  INFO -- : lab.rism: Source #190026054 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.107140 #12606]  INFO -- : lab.rism: Source #190026114 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.117952 #12606]  INFO -- : lab.rism: Source #190026116 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.124068 #12606]  INFO -- : lab.rism: Source #190026117 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.131838 #12606]  INFO -- : lab.rism: Source #190026118 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.147200 #12606]  INFO -- : lab.rism: Source #190026122 add tag 500$a with content 'Commment on scoring: bc: vlne'
I, [2017-02-13T12:40:46.160989 #12606]  INFO -- : lab.rism: Source #190026134 add tag 500$a with content 'Commment on scoring: bc: vlne'
