# Logfile created on 2018-01-29 09:45:31 +0100 by logger.rb/54362
I, [2018-01-29T09:45:31.956347 #29979]  INFO -- : lab.rism: Size of collection --> 2346
I, [2018-01-29T09:45:47.268032 #29979]  INFO -- : lab.rism: 300040306: =240  10$a12 Etudes Op$k25$mpf$nKobC 25$rf$03967680 --> 12 Etudes Op. 25
I, [2018-01-29T09:45:48.291098 #29979]  INFO -- : lab.rism: 300510600: =240  10$aDer Tod Jesu$kExcerps$mV (X), orch, bc$nGruG 42/10a$03903482 --> Der Tod Jesu. Excerps
I, [2018-01-29T09:45:49.137581 #29979]  INFO -- : lab.rism: 300512852: =240  10$aCivitatem$kFestina lente$mS, Coro, orch, org$04245956 --> Civitatem. Festina lente
I, [2018-01-29T09:45:49.487720 #29979]  INFO -- : lab.rism: 301009853: =240  10$aO Gott und Herr$kArr.$rE|b$04261279 --> O Gott und Herr. Arr.
I, [2018-01-29T09:45:49.679244 #29979]  INFO -- : lab.rism: 301009854: =240  10$aO Gott und Herr$kArr.$rF$04261279 --> O Gott und Herr. Arr.
I, [2018-01-29T09:45:49.879178 #29979]  INFO -- : lab.rism: 350001207: =240  10$aOne Hundred Children's Songs of Chosŏn, Vol$k1$mV, keyb$04265318 --> One Hundred Children's Songs of Chosŏn, Vol. 1
I, [2018-01-29T09:45:50.135041 #29979]  INFO -- : lab.rism: 350001466: =240  10$aFrom the land of the sky-blue water$kArr.$mCoro maschile, keyb$rB|b$03911546 --> From the land of the sky-blue water. Arr.
I, [2018-01-29T09:45:50.329226 #29979]  INFO -- : lab.rism: 350001470: =240  10$aDuna$kArr.$mCoro, keyb$rE|b$04151439 --> Duna. Arr.
I, [2018-01-29T09:45:50.629402 #29979]  INFO -- : lab.rism: 350001472: =240  10$aTraveling home$kArr.$mCoro maschile$rA|b$03911541 --> Traveling home. Arr.
I, [2018-01-29T09:45:50.793490 #29979]  INFO -- : lab.rism: 350001475: =240  10$aUnder the sacred stars$kArr.$mV, keyb$rA$04085198 --> Under the sacred stars. Arr.
I, [2018-01-29T09:45:51.001662 #29979]  INFO -- : lab.rism: 350001493: =240  10$aOh Susanna$kArr.$mV, keyb$rE$04170160 --> Oh Susanna. Arr.
I, [2018-01-29T09:45:51.176688 #29979]  INFO -- : lab.rism: 400011400: =240  10$aTemistocle$kExerpts$mA, orch$nTerB 200/2$rD$03903245 --> Temistocle. Exerpts
I, [2018-01-29T09:45:51.496916 #29979]  INFO -- : lab.rism: 402009529: =240  10$aDer 6$kNovember 1632$mCoro maschile, orch$04185573 --> Der 6. November 1632
I, [2018-01-29T09:45:51.876677 #29979]  INFO -- : lab.rism: 450003413: =240  10$aSangstycke för den 19$kAugusti$mV (2), orch$04065862 --> Sangstycke för den 19. Augusti
I, [2018-01-29T09:45:52.093395 #29979]  INFO -- : lab.rism: 450018756: =240  10$aC$kM. Webers letzter Gedanke$mpf$rA|b$03910900 --> C. M. Webers letzter Gedanke
I, [2018-01-29T09:45:52.230217 #29979]  INFO -- : lab.rism: 450018777: =240  10$aNachruf an J$kMilanollo$mpf$rD$04068711 --> Nachruf an J. Milanollo
I, [2018-01-29T09:45:52.393534 #29979]  INFO -- : lab.rism: 450055744: =240  10$aPreludes$kFragment$mpf$rC$03900747 --> Preludes. Fragment
I, [2018-01-29T09:45:52.868864 #29979]  INFO -- : lab.rism: 450063854: =240  10$aMasses$kExerpts$mCoro, orch$rD$03900051 --> Masses. Exerpts
I, [2018-01-29T09:45:53.385258 #29979]  INFO -- : lab.rism: 450063856: =240  10$aMiserere$kExcepts$mCoro$rB|b$03017562 --> Miserere. Excepts
I, [2018-01-29T09:45:53.785067 #29979]  INFO -- : lab.rism: 450066843: =240  10$aSehnsucht nach Mitgefühl$kAn Matthison$mV, pf$rA$03922503 --> Sehnsucht nach Mitgefühl. An Matthison
I, [2018-01-29T09:45:54.035192 #29979]  INFO -- : lab.rism: 450067035: =240  10$aIl Deputato di Rocca$kExcertps$mS, orch$04325869 --> Il Deputato di Rocca. Excertps
I, [2018-01-29T09:45:54.226919 #29979]  INFO -- : lab.rism: 450067036: =240  10$aFedra$kExcertps$mT, Coro maschile, orch$03934898 --> Fedra. Excertps
I, [2018-01-29T09:45:54.363679 #29979]  INFO -- : lab.rism: 450067037: =240  10$aLa Dama soldato$kExcertps$mV (2), orch$03902017 --> La Dama soldato. Excertps
I, [2018-01-29T09:45:54.547241 #29979]  INFO -- : lab.rism: 450067038: =240  10$aLa Dama soldato$kExcertps$mV (2), orch$03902017 --> La Dama soldato. Excertps
I, [2018-01-29T09:45:54.805381 #29979]  INFO -- : lab.rism: 450100807: =240  10$aQuartets$kArr.$mvl, vlc, clav$rG$03900008 --> Quartets. Arr.
I, [2018-01-29T09:45:55.035700 #29979]  INFO -- : lab.rism: 450103642: =240  10$aDie Feier des 19$kJahrhunderts$mV (4), Coro, orch, bc$04159321 --> Die Feier des 19. Jahrhunderts
I, [2018-01-29T09:45:55.335564 #29979]  INFO -- : lab.rism: 450114464: =240  10$aLes Folies d'Espagne$kVariations$mmandoline$rd$03994318 --> Les Folies d'Espagne. Variations
I, [2018-01-29T09:45:55.785750 #29979]  INFO -- : lab.rism: 450117763: =240  10$aAn C$kbeim Grabe ihres Freundes$mV, pf$rB|b$03913453 --> An C. beim Grabe ihres Freundes
I, [2018-01-29T09:45:55.922336 #29979]  INFO -- : lab.rism: 450117783: =240  10$aAn F$kM. als sie nach London ging$mV, pf$rA$03968584 --> An F. M. als sie nach London ging
I, [2018-01-29T09:45:56.110690 #29979]  INFO -- : lab.rism: 450117789: =240  10$aAn F$kM. als sie nach London ging$mV, pf$rA$03968584 --> An F. M. als sie nach London ging
I, [2018-01-29T09:45:56.327523 #29979]  INFO -- : lab.rism: 450119457: =240  10$aKönig Georg V$kDefiliermarsch$mbanda$rD|b$04029611 --> König Georg V. Defiliermarsch
I, [2018-01-29T09:45:56.610930 #29979]  INFO -- : lab.rism: 450119458: =240  10$aKönig Georg V$kDefiliermarsch$mbanda$rD|b$04029611 --> König Georg V. Defiliermarsch
I, [2018-01-29T09:45:56.730758 #29979]  INFO -- : lab.rism: 450119476: =240  10$aKönig Georg V$kDefiliermarsch$morch$rB|b$04029611 --> König Georg V. Defiliermarsch
I, [2018-01-29T09:45:56.839067 #29979]  INFO -- : lab.rism: 450119493: =240  10$aDer 10$kAugust 1861$mbanda$rG|b$04213489 --> Der 10. August 1861
I, [2018-01-29T09:45:56.997597 #29979]  INFO -- : lab.rism: 450119494: =240  10$aDer 10$kAugust 1861$mbrasses, timp$rG|b$04213489 --> Der 10. August 1861
I, [2018-01-29T09:45:57.202485 #29979]  INFO -- : lab.rism: 450300339: =240  10$aDie Elfen$kArr.$mwinds$rE|b$04086198 --> Die Elfen. Arr.
I, [2018-01-29T09:45:57.644293 #29979]  INFO -- : lab.rism: 450300352: =240  10$aWaltzes$kArr.$mwinds$03900012 --> Waltzes. Arr.
I, [2018-01-29T09:45:57.794433 #29979]  INFO -- : lab.rism: 450300353: =240  10$aWaltzes$kArr.$mwinds$03900012 --> Waltzes. Arr.
I, [2018-01-29T09:45:57.935809 #29979]  INFO -- : lab.rism: 450300354: =240  10$aWaltzes$kArr.$mwinds$03900012 --> Waltzes. Arr.
I, [2018-01-29T09:45:58.144335 #29979]  INFO -- : lab.rism: 450300362: =240  10$aAudite nova der Bauer von Eselskirchen$kArr.$mV (4)$04076212 --> Audite nova der Bauer von Eselskirchen. Arr.
I, [2018-01-29T09:45:58.335909 #29979]  INFO -- : lab.rism: 450300374: =240  10$aMiserere mei Deus$kArr.$mV (4)$057989 --> Miserere mei Deus. Arr.
I, [2018-01-29T09:45:58.772747 #29979]  INFO -- : lab.rism: 450300382: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:45:58.994307 #29979]  INFO -- : lab.rism: 450300383: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:45:59.161055 #29979]  INFO -- : lab.rism: 450300384: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:45:59.252686 #29979]  INFO -- : lab.rism: 450300385: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:45:59.330809 #29979]  INFO -- : lab.rism: 450300386: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:45:59.405876 #29979]  INFO -- : lab.rism: 450300387: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:45:59.694581 #29979]  INFO -- : lab.rism: 450300388: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:45:59.789258 #29979]  INFO -- : lab.rism: 450300389: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:45:59.869400 #29979]  INFO -- : lab.rism: 450300390: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:45:59.944322 #29979]  INFO -- : lab.rism: 450300391: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:00.103113 #29979]  INFO -- : lab.rism: 450300392: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:00.197605 #29979]  INFO -- : lab.rism: 450300393: =240  10$aMotets$kArr.$mV (2), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:00.272618 #29979]  INFO -- : lab.rism: 450300394: =240  10$aMotets$kArr.$mV (4)$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:00.447621 #29979]  INFO -- : lab.rism: 450300395: =240  10$aMotets$kArr.$mV (4)$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:00.647954 #29979]  INFO -- : lab.rism: 450300397: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:00.786240 #29979]  INFO -- : lab.rism: 450300398: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:00.922713 #29979]  INFO -- : lab.rism: 450300399: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:01.064373 #29979]  INFO -- : lab.rism: 450300400: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:01.231105 #29979]  INFO -- : lab.rism: 450300401: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:01.314460 #29979]  INFO -- : lab.rism: 450300402: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:01.394574 #29979]  INFO -- : lab.rism: 450300403: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:01.631269 #29979]  INFO -- : lab.rism: 450300404: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:01.722766 #29979]  INFO -- : lab.rism: 450300405: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:01.853105 #29979]  INFO -- : lab.rism: 450300406: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:01.986366 #29979]  INFO -- : lab.rism: 450300407: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:02.111446 #29979]  INFO -- : lab.rism: 450300408: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:02.194753 #29979]  INFO -- : lab.rism: 450300409: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:02.272838 #29979]  INFO -- : lab.rism: 450300410: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
