"510 RISM Serie";"RISM-ID";"852 $a Bibliothek ";"852 $q";"852 $c";"856 $u";"856 $z";"856 $x";"691 $a";"691 $n";"500 Bemerkungen ";
"C 3623";;"NL-DHnmi ";;"10 C 38";;;;;;;
"C 3676";;"NL-DHnmi  ";"vl 1, vl 2, bc, org";;;;;;;;
"C 3679";;"B-Bc   ";"vl 1, vl 2, bc";;;;;;;;
"C 3692 ";;"NL-BUkoopman ";"vl 1, vl 2, bc";;;;;;;;
"C 3713";;"NL-DHnmi ";"vl 1, vl 2, vlne, org";;;;;;;;
"C 3727";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
"C 3748";;"D-JE ";"vl 1, vl 2, bc";;;;;;;;
"C 3755";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
"C 3758";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
"C 3775";;"NL-DHnmi ";"vl 1, vl 2, bc";;;;;;;;
"C 3779";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
"C 3793";;"B-Bc ";"vl 1, vl 2, bc";;;;;;;;
"C 3807";;"NL-BUkoopman";;;;;;;;;
"C 3860 ";;"B-Bc ";"complete";;;;;;;;
"C 3870";;"NL-Uim ";;;;;;;;;
"C 3875";;"NL-Uim ";;;;;;;;;
"C 3876";;"NL-Uim ";;;;;;;;;
"C 4085";;"NL-BUkoopman";;;;;;;;;
"C 4132";;"NL-BUkoopman";;;;;;;;;
"C 4181";;"B-Bc";;;;;;;;;
"C 424 ";;"B-Bc ";"vl 1, vl 2, vla, vlc";;;;;;;;
"C 4283";;"B-Bc";;;;;;;;;
"C 4290";;"B-Bc";;;;;;;;;
"C 4349";;"NL-DHnmi";;;;;;;;;
"C 458";;"B-Bc ";"vl 1, vl 2, vla, vlc";;;;;;;;
"C 638 ";;"NL-DHnmi ";"vl 1, vl 2, bc";;;;;;;;
"C 833";;"B-Bc  ";"vl 1, vl 2, vla, vlc";;;;;;;;
"CC 2028 I,23";;"NL-DHnmi";;;;;;;;;
"CC 2028 I,58";;"NL-At   ";;;;;;;;;
"CC 2943a";;"D-LÜh";;;;;;;;;
"CC 3729a";;"NL-BUkoopman ";"vl 1, vl 2, vlc, bc";;;;;;;;
"CC 3761a";;"NL-BUkoopman ";"vl 1, vl 2, org";;;;;;;;
"D 1000";;"B-Bc ";"complete";;;;;;;;
"D 1003 ";;"B-Bc ";"complete";;;;;;;;
"D 1004 ";;"NL-DHnmi ";"complete";;;;;;;;
"D 1033";;"NL-DHnmi";;;;;;;;;
"D 11 ";;"B-Bc ";"complete";;;;;;;;
"D 1141";;"NL-Uim ";;;;;;;;;
"D 1233";;"B-Bc";;;;;;;;;
"D 1235";;"B-Bc";;;;;;;;;
"D 1520 ";;"B-Bc ";"complete";;;;;;;;
"D 1975 ";;"NL-Areede ";"fl 1, fl 2, fl 3";;;;;;;;
"D 2000";;"NL-DHnmi ";;;;;;;;;
"D 2096";;"B-Bc ";"fag 1, fag 2";;;;;;;;
"D 3285 ";;"B-Bc  vollst";;;;;;;;;
"D 3377 ";;"NL-DHa";;;;;;;;;
"D 3593";;"US-NYp";;;;;;;;;
"D 3838";;"NL-Uim ";;;;;;;;;
"D 3839";;"NL-Uim ";;;;;;;;;
"D 3840";;"NL-Uim ";;;;;;;;;
"D 3871 ";;"NL-DHnmi";;;;;;;;;
"D 3872 ";;"NL-DHnmi";;;;;;;;;
"D 3963";;"NL-At ";;;;;;;;;
"D 4724 ";;"NL-DHnmi";;;;;;;;;
"D 4726";;"NL-DHnmi";;;;;;;;;
"D 748";;"B-Bc";;;;;;;;;
"D 795 ";;"NL-Uim ";;;;;;;;;
"E 162";;"B-Bc";;;;;;;;;
"EE 902 I,1";;"NL-At ";;;;;;;;;
"EE 902 I,3";;"NL-At ";;;;;;;;;
"F 1682 ";;"GB-Lbl ";"S II";;;;;;;;
"F 48";;"NL-DEta";;;;;;;;;
"F 618";;"NL-DHnmi ";"vlc 1, 2";;;;;;;;
"F 622";;"NL-DHnmi";"vlc 1, 2";;;;;;;;
"F 630";;"NL-Uim ";;;;;;;;;
"F 635";;"NL-Uim ";;;;;;;;;
"F 805";;"PL-LEtpn ";"A";;;;;;;;
"F 806";;"PL-LEtpn ";"T";;;;;;;;
"F 895";;"NL-DHnmi ";"vl/fl, b, clav";;;;;;;;
"F 923";;"NL-DHnmi ";"vl, vla";;;;;;;;
"F 967";;"NL-DHnmi ";;;;;;;;;
"G 1471";;"NL-DHnmi";;;;;;;;;
"G 1502";;"NL-BUkoopman";;;;;;;;;
"G 1540  ";;"NL-DHnmi ";;"10 B 19";;;;;;;
"G 1543 ";;"NL-DHnmi";;;;;;;;;
"G 1545 ";;"NL-DHnmi ";;"10 C 59";;;;;;;
"G 1907";;"NL-DHnmi";;;;;;;;;
"G 20";;"B-Bc";;;;;;;;;
"G 2261";;"NL-DHa  ";"ohne clav";;;;;;;;
"G 2298";;"B-Bc";;;;;;;;;
"G 253";;"NL-DHnmi";;;;;;;;;
"G 3265";;"NL-DHnmi";;;;;;;;;
"G 3496";;"NL-DHnmi";;;;;;;;;
"G 3737";;"NL-Uim ";;;;;;;;;
"G 438";;"NL-BUkoopman";;;;;;;;;
"G 4581 ";;"NL-DHnmi";;;;;;;;;
"G 5395";;"NL-Areede ";"complete";;;;;;;;
"H 1176";;"NL-AN ";;;;;;;;;
"H 127";;"NL-DHnmi";;;;;;;;;
"H 1436";;"B-Ac";;;;;;;;;
"H 1440";;"B-Ac";;;;;;;;;
"H 1462";;"NL-Ur";;;;;;;;;
"H 219 ";;"NL-DHnmi";;;;;;;;;
"H 4385";;"NL-AN ";;;;;;;;;
"H 4624";;"NL-Uim ";;;;;;;;;
"H 4625";;"NL-Uim ";;;;;;;;;
"H 4998";;"NL-Uim ";;;;;;;;;
"H 5853";;"NL-DHnmi";;;;;;;;;
"H 6000";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
"H 6234";;"NL-BUkoopman";;;;;;;;;
"H 637";;"B-Bc";;;;;;;;;
"H 7328";;"NL-Uim ";;;;;;;;;
"H 8045";;"A-Wn";;;;;;;;;
"HH 2238a";;"NL-Uim ";;;;;;;;;
"J 206";;"B-Br ";;;;;;;;;
"J 206";;"D-Es";;;;;;;;;
"J 242";;"NL-BUkoopman";;;;;;;;;
"J 740";;"NL-DHnmw";;;;;;;;;
"K 1729";;"B-Bc";;;;;;;;;
"K 1734";;"B-Bc";;;;;;;;;
"K 1768";;"B-Bc";;;;;;;;;
"K 1844";;"B-Bc";;;;;;;;;
"K 1854";;"B-Bc";;;;;;;;;
"K 1862";;"B-Bc";;;;;;;;;
"K 2246";;"NL-Uim ";;;;;;;;;
"K 2348 ";;"NL-DHnmi";;;;;;;;;
"K 2501";;"NL-Uim ";;;;;;;;;
"K 277";;"B-Bc";;;;;;;;;
"K 2894";;"B-Bc";;;;;;;;;
"K 2902";;"B-Bc";;;;;;;;;
"K 2911";;"NL-RHkeppel";;;;;;;;;
"K 365";;"NL-DHnmi ";;;;;;;;;
"K 393";;"NL-DHnmi";"complete";;;;;;;;
"K 634";;"NL-D ";;;;;;;;;
"KK 1843a";;"B-Bc";;;;;;;;;
"KK 1843d";;"B-Bc";;;;;;;;;
"L 2149";;"NL-DHnmi";;;;;;;;;
"L 340";;"NL-RHkeppel";;;;;;;;;
"L 343";;"NL-RHkeppel";;;;;;;;;
"L 387";;"NL-DEta";;;;;;;;;
"L 665";;"NL-BUkoopman";;;;;;;;;
"L 769";;"I-VEaf  ";;;;;;;;;
"M 1164 ";;"NL-Uim ";;;;;;;;;
"M 165";;"NL-DHnmi";;;;;;;;;
"M 1781";;"NL-DHnmi ";;;;;;;;;
"M 1874 ";;"NL-DHnmi ";;;;;;;;;
"M 3030";;"B-Bc";;;;;;;;;
"M 391";;"NL-DHnmi ";;;;;;;;;
"M 395";;"NL-DHnmi ";;;;;;;;;
"M 4061";;"D-LÜh";;;;;;;;;
"M 7768";;"B-Bc";;;;;;;;;
"M 7911";;"NL-DHa ";;;;;;;;;
"MM 1663a";;"NL-RHkeppel";;;;;;;;;
"MM 3548e";;"NL-DHnmi";;;;;;;;;
