DNB,ID
2032023-1,46977
5251152-2,46979
2008172-8,46980
65951-4,47013
2054513-7,47028
10068863-9,47062
211838-5,47063
2002363-7,47064
2016807-X,47079
122194-2,47098
116306-1,47107
5009837-8,47133
5009838-X,47134
18577-2,47137
18576-0,47138
2038745-3,47170
37072-1,47203
40111-0,47215
45437-0,47253
220703-5,47254
63174-7,47262
98471-1,47263
5263731-1,47267
98473-5,47268
3047947-2,47269
2035747-3,47275
2025543-3,47276
1006963-X,47277
15600-0,47278
215779-2,47304
10141188-1,47305
1006817-X,47318
1054780-0,47319
1021033-7,47330
1094792-9,47331
10141652-0,47332
1094012-1,47333
1027899-0,47338
1218909-1,47376
2035066-1,47398
10141623-4,47399
2035386-8,47400
2043025-5,47406
10141496-1,47407
3063957-8,47409
501751-8,47410
3064158-5,47411
2126697-9,47446
5323218-5,47447
216311-1,47448
10101854-X,47449
5029397-7,47450
10139275-8,47474
10141254-X,47481
5054581-4,47502
10139183-3,47504
5198581-0,47605
6510276-9,47606
5199664-9,47607
10141807-3,47608
3036110-2,47652
3064073-8,47653
1006362-6,47661
1702640-4,47669
1702641-6,47670
5339154-8,47690
10028455-3,47691
10005806-1,47704
10141796-2,47705
5516722-6,47729
3062331-5,47730
6010480-6,47741
10141419-5,47742
10141327-0,47754
10110006-1,47769
2033007-8,48183
10141654-4,48953
2091886-0,49184
3014165-5,49185
1088547-X,49196
2028840-2,49215
2049419-1,49230
25968-8,49241
62049-X,49254
55731-6,49297
1073053415,49305
11466-2,49343
11465-0,49344
1026916-2,49345
5129145-9,49359
37633-4,49407
5106001-2,49408
40171-7,49438
370198,49444
36060-0,49522
10129551-0,49563
10158700-4,49563
2050624-7,49568
2028870-0,49569
260293-3,49576
280507-8,49577
2094285-0,49584
10003141-9,49588
32862-5,49641
2029035-4,49642
115046-7,49682
43130-8,49689
2171113-6,49698
2064562-4,49711
10034194-9,49717
214075-5,49719
2091618-8,51003662
9445-6,49776
10148293-0,49777
16466-5,49778
5243812-0,49779
37292-4,49786
10148176-7,49788
54113-8,49796
36233-5,49804
130429-X,49816
5327292-4,49817
136736-5,49820
5316158-0,49821
217045-0,49831
277768-X,49837
275454-X,49839
10148482-3,49840
2006339-8,49847
1082181-8,49851
1010867-1,49852
1012613-2,49860
5204864-0,49861
1014556-4,49863
1021443-4,49866
1047916-8,49873
10148357-0,49874
67473-4,49892
10002067-7,49895
3010070-7,49910
3028094-1,49911
2087958-1,49927
2035460-5,49928
2091641-3,49929
2042638-0,49932
10148483-5,49933
1004162-X,49936
500376-3,49937
10148216-4,49938
10148395-8,49939
2047902-5,49943
10147730-2,49944
5245929-9,49945
3064713-7,49958
1020032-0,49960
2082920-6,49978
5570860-2,49979
10147504-4,50027
3013121-2,50032
10148324-7,50033
502281-2,50034
2002251-7,50047
6509355-0,50048
5092014-5,50080
5561074-2,50081
1700308-8,50111
1700309-X,50112
2166446-8,50116
5151825-9,50130
3064708-3,50143
5184730-9,50162
5570943-6,50164
5186493-9,50166
17998-X,50167
3031627-3,50186
5243811-9,50189
10119178-9,50190
10107239-9,50191
5279568-8,50204
5332324-5,50205
10147860-4,50242
1702987-9,50245
5130730-3,50249
2156800-5,50259
5053850-0,50261
6022860-X,50302
10148586-4,50303
10148006-4,50305
10148026-X,50308
5119856-3,50333
10052403-5,50344
10148583-9,50345
1706510-0,50347
10068732-5,50400
10147648-6,50401
236353-7,50403
10147979-7,50417
10101964-6,50449
10148507-4,50450
10118066-4,50470
10148125-1,50471
10148518-9,50485
5055492-X,50487
10144983-5,50637
10145488-0,50638
10037828-6,50650
10145316-4,50666
10145338-3,50676
10085692-5,50683
3000960-1,50703
10145628-1,50707
10148430-6,51313
10148544-X,51314
10103189-0,51315
10148457-4,51341
10351-2,51768
43265-9,51769
5031491-9,51782
2023258-5,51823
2026965-1,51832
2008085-2,51844
63355-0,51870
1027048-6,51910
2120433-0,51917
2058722-3,51937
2005447-6,51982
41700-2,51989
5016307-3,52034
2103708-5,52056
2009834-0,52208
2121894-8,52524
39958-9,53856
2004114-7,53899
5528813-3,53915
2178840-6,75058
2026843-9,53961
2016605-9,53974
272168-5,54038
128705630,54132
2042913-7,54153
115983-5,54156
10088359-X,54224
54332-9,54365
131248-0,54366
5166322-3,54372
2028791-4,54378
91527-0,54382
2022139-3,54385
2006935-2,54416
2109661-2,54442
5254270-1,54474
10072152-7,54478
5334964-7,54495
2067377-2,54500
2096130-3,54520
30828-6,54563
10145275-5,54584
5242170-3,54593
17475-0,54610
125354-2,54683
2020780-3,54691
90022-9,54693
2121012-3,54708
31969-7,54709
2004324-7,54714
2027935-8,54715
2019465-1,54740
2072280-1,57433
2019172-8,54748
10025331-3,54752
37745-4,54753
1025354-3,54767
10017754-2,54782
5520383-8,54783
2145179-5,54790
1099586-9,54794
2029835-3,54796
10120104-7,54828
10155895-8,54837
5073004-6,54840
10043240-2,54849
2100911-9,54854
2041102-9,54857
2025640-1,54859
2048634-0,54864
261223-9,54884
2053836-4,54885
1220414-6,54915
2024202-5,54916
2046074-0,54946
280028-7,54953
1043022-2,54956
5061171-9,54957
3045942-4,55007
5319075-0,55023
2018762-2,55116
1004390-1,55132
3000530-9,55156
600914-1,55157
110760-4,55167
80223-2,55179
30688-5,55205
112036-0,55239
2041635-0,55281
2009853-4,55282
2010732-8,55283
1056903-0,55298
118938-4,55320
2019016-5,56413
2153023-3,56870
508224-9,56878
5246638-3,56880
2032088-7,56930
30394-X,56993
62708-2,57084
119999-7,57111
5332729-9,57265
2010017-6,57321
1072959615,57335
5265292-0,57401
18669-7,57431
5553519-7,57432
2143420-7,57436
1003786-X,57439
2136825-9,57442
600549-4,57443
235211-4,57444
2007965-5,57446
2075121-7,57448
5248564-X,57451
2006281-3,57452
2119701-5,57453
2119702-7,57454
115445-X,57455
2034534-3,57458
25145-8,57460
5189835-4,57461
38230-9,57462
19481-5,57465
2053909-5,57466
2117948-7,57470
10038844-9,57471
2126609-8,57473
2129649-2,57474
5184762-0,57476
137522-2,57480
355224-X,57481
370810-X,57494
2019763-9,57514
74783-X,57518
2024226-8,57520
125451-0,57530
2111506-0,57546
309525-3,57564
2052712-3,57565
2015748-4,57607
1024320-3,57755
6512691-9,57805
5019393-4,57806
5039681-X,57814
600059-9,57817
1099560-2,57820
235724-0,57859
252787-X,57862
5019973-0,57863
125552-6,57869
116221-4,57872
2082927-9,57876
129194-4,57889
10126916-X,57898
5195551-9,57926
380413-6,57936
5210490-4,57964
2001210-X,57980
2106930-X,58063
2106933-5,58064
118094-0,58065
118093-9,58066
75045-1,58070
