"Komponist","Einordnungstitel","RISM Dokumentnummer","Signatur 852 $c"
"Müller, Wenzel","Das Sonnenfest der Braminen",990046354,"Wenzel 1"
"Naudot, Jacques Christophe","Sonatas",990046709,"Naudot 1"
"Naumann, Johann Gottlieb","6 Arias",990046794,"Sammelband 5/I"
"Navoigille, Guillaume","6 Symphonies",990046853,"Navoigille 1"
"Neubauer, František Kryštof ","Symphonies",990046982,"Neubauer 2"
"Neubauer, František Kryštof ","Symphonies",990046991,"Neubauer 3"
"Neubauer, František Kryštof ","Quartets",990047006,"Neubauer 8/I-II"
"Oberndörffer, David","Allegrezza musicale",990047360,"F.K. Mus. 103"
"Paisiello, Giovanni ","Le gare generose",990047936,"Sammelband 4/II"
"Paisiello, Giovanni ","Nina",990048035,"Paisiello 11/II"
"Paisiello, Giovanni ","Insertions",990048181,"Sammelband 4/II"
"Paisiello, Giovanni ","Insertions",990048189,"Paisiello 27"
"Pfendner, Heinrich","Motetti, liber 2",990049278,"F.K. Mus. 36/3"
"Philidor, François-André","Tom Jones",990049403,"Philidor 2/I"
"Piccinni, Niccolò","Alessandro nelle Indie",990049529,"Piccinni 9"
"Pichl, Václav","6 Symphonies",990049688,"Pichl 14"
"Pleyel, Ignace","Symphonies concertantes",990050272,"Pleyel 19"
"Pleyel, Ignace","Symphonies",990050393,"Pleyel 20"
"Pleyel, Ignace","Sextets",990050442,"Pleyel 33"
"Pleyel, Ignace","Quintets",990050483,"Pleyel 30/2"
"Pleyel, Ignace","Quintets",990050486,"Pleyel 30/3"
"Pleyel, Ignace","Quintets",990050488,"Pleyel 30/4"
"Pleyel, Ignace","3 Quintets",990050496,"Pleyel 32"
"Pleyel, Ignace","Quintets",990050505,"Pleyel 30"
"Pleyel, Ignace","Symphonies",990050509,"Sammelband 7"
"Pleyel, Ignace","Septets",990050510,"Pleyel 31"
"Pleyel, Ignace","Symphonies concertantes",990050514,"Pleyel 30/6"
"Pleyel, Ignace","Divertimentos",990050522,"Pleyel 30/5"
"Pleyel, Ignace","Symphonies",990050526,"Sammelband 7"
"Pleyel, Ignace","6 Quartets",990050565,"Pleyel 23"
"Pleyel, Ignace","Quartets",990050592,"Pleyel 24"
"Pleyel, Ignace","3 Quartets",990050784,"Pleyel 28"
"Pleyel, Ignace","3 Quartets",990050806,"Pleyel 26"
"Pleyel, Ignace","Quartets",990050825,"Pleyel 27"
"Pleyel, Ignace","Quartets",990050909,"Pleyel 38"
"Pleyel, Ignace","3 Quartets",990050910,"Sammelband 7"
"Pleyel, Ignace","Trios",990051026,"Pleyel 34"
"Pleyel, Ignace","Trios",990051049,"Pleyel 34"
"Pleyel, Ignace","3 Trios",990051222,"Pleyel 35"
"Pleyel, Ignace","Quartets",990051276,"Sammelband 7"
"Pleyel, Ignace","Quartets",990051278,"Sammelband 7"
"Pleyel, Ignace","Quartets",990051298,"Sammelband 7"
"Pleyel, Ignace","Quartets",990051331,"Pleyel 39"
"Pleyel, Ignace","Quartets",990051972,"Sammelband 7"
"Pleyel, Ignace","Quartets",990052126,"Pleyel 36"
"Quentin, Jean-Baptiste","10 Sonatas",990053337,"XL K 43"
"Rameau, Jean-Philippe","Hippolyte et Aricie",990053569,"F.K. Mus. 61 Abth. II."
"Reggio, Hoste da","Madrigals",990037991,"F.K. Mus. 27.28/2, F.K. Mus. 53"
"Reicha, Joseph","Concertos",990054165,"Reicha 3"
"Reichardt, Johann Friedrich","Brenno",992000573,"Reichardt 2/I"
"Reiner, Jacob","Sacred songs",990054460,"F.K. Mus. 62.63"
"Rolle, Johann Heinrich","Thirza und ihre Söhne",990055402,"Rolle 1"
"Rosetti, Antonio","Der sterbende Jesus",990055895,"Rosetti 25/I-II"
"Rosetti, Antonio","3 Symphonies",990055905,"Rosetti 2"
"Rosetti, Antonio","Symphonies",990055909,"Rosetti 1"
"Rosetti, Antonio","Quartets",990055930,"Rosetti 23"
"Rudolph, Johann Joseph","L'aveugle de Palmire",990055156,"Rodolphe 1"
"Rüttinger, Johann Caspar","Sonatas",991009163,"Rüttinger 1"
"Sales, Franz","Patrocinium musices, tomus 1",990056914,"F.K. Mus. 57 II. Abth."
"Salieri, Antonio","Falstaff",990057023,"Salieri 4"
"Salieri, Antonio","La grotta di Trofonio",990057039,"Salieri 10/I-II"
"Sarti, Giuseppe","I finti eredi",990057408,"Sammelband 4/II"
"Sarti, Giuseppe","Fra i due litiganti il terzo gode",990057428,"Sammelband 4/II"
"Schacht, Theodor von","La Rosière de Salency",990057680,"Schacht 151/II"
"Schacht, Theodor von","Lausus e Lydia",990057681,"Schacht 154/III"
"Schacht, Theodor von","12 Sonatas",990057682,"Schacht 64"
"Schneider, Georg Laurenz","Symphonies",990058323,"G. Laur. Schneider 1"
"Solnitz, Anton Wilhelm ","12 Symphonies",990060267,"Solnitz 1"
"Stamitz, Carl","Symphonies concertantes",990060781,"Stamitz 34"
"Stamitz, Carl","Quartets",990060808,"Stamitz 41"
"Steibelt, Daniel","Rondos",990061860,"Steibelt 1"
"Sterkel, Johann Franz Xaver ","6 Duettini",990062066,"Sammelband 4/I"
"Sterkel, Johann Franz Xaver ","Gesänge",990062119,"PrD mus. 6"
"Sterkel, Johann Franz Xaver ","Odes",990062140,"Sterkel 9/I"
"Sterkel, Johann Franz Xaver ","Sinfonie périodique",990062174,"Sterkel 4"
"Sterkel, Johann Franz Xaver ","Symphonies",990062177,"Sterkel 5"
"Sterkel, Johann Franz Xaver ","Quintets",990062198,"Sterkel 8"
"Sterkel, Johann Franz Xaver ","Duets",990062284,"Sammelband 7"
"Süßmayr, Franz Xaver","Der Retter in Gefahr",990063424,"Süssmayer 3/I"
"Utendal, Alexander","Septem psalmi poenitentiales",990065023,"F.K. Mus. 6.7/8"
"Utendal, Alexander","Sacrarum cantionum, liber 1",990065024,"F.K. Mus. 6.7/4"
"Utendal, Alexander","Sacrae cantiones",990065025,"F.K. Mus. 6.7/5"
"Utendal, Alexander","Masses",990065026,"F.K. Mus. 6.7/7"
"Utendal, Alexander","Fröhliche newe teutsche und frantzösische Lieder",990065027,"F.K. Mus. 6.7/9"
"Utendal, Alexander","Sacrarum cantionum, liber 3",990065029,"F.K. Mus. 6.7/6"
"Vachon, Pierre","Sara",990065050,"Vachon 1/I-II"
"Valckiers, Josephine","4 Romances",991004815,"Valckiers 1"
"Vandenbroek, Othon-Joseph","Symphonies",990065232,"Vandenbroek 1"
"Vandenbroek, Othon-Joseph","Symphonies concertantes",990065235,"Vandenbroek 2"
"Vandenbroek, Othon-Joseph","3 Symphonies",992002653,"Vandenbroek 3"
"Vanderhagen, Amand","Le cantatrici villane",990065264,"Vanderhagen 1"
"Vanhal, Johann Baptist","Quintets",990065374,"Vanhal 44"
"Vanhal, Johann Baptist","Divertissement",990065376,"Vanhal 46/II"
"Vanhal, Johann Baptist","Quartets",990065397,"Vanhal 43, 43/1-5"
"Vanhal, Johann Baptist","Keyboard pieces",990065668,"Vanhal 46/I"
"Veichtner, Franz Adam","Symphonies",990066114,"Veichtner 1"
"Vento, Ivo de","Partsongs",990066141,"F.K. Mus. 4.5/4"
"Venturini, Francesco","Concertos",990066210,"Venturini 1"
"Victoria, Tomás Luis de","Cantiones sacrae",990066435,"F.K. Mus. 51"
"Viotti, Giovanni Battista","Symphonies concertantes",990066712,"Viotti 1"
"Weigl, Joseph","L'accademia del maestro Cisolfaut",991006047,"Sammelband 4/I"
"Weigl, Joseph","L'amor marinaro ossia Il corsaro",991006077,"Sammelband 4/I"
"Weigl, Joseph","L'amor marinaro ossia Il corsaro",991006079,"Sammelband 4/I"
