1586,990002545,A 2544
1583,990002547,A 2546; AA 2546
1565,990002548,A 2547; AA 2547
1583,990002549,A 2548
1595,990002550,A 2549; AA 2549
1583,990002551,A 2550; AA 2550
1586,990002552,A 2551
1583,990002553,A 2552
1584,990002554,A 2553
1584,990002555,A 2554
1584,990002556,A 2555
1586,990002557,A 2556
1587,990002558,A 2557
1591,990002559,A 2558
1596,990002560,A 2559
1585,990002561,A 2560; AA 2560
1585,990002562,A 2561
1585,990002563,A 2562; AA 2562
1586,990002564,A 2563
1586,990002565,A 2564
1586,990002566,A 2565
1587,990002567,A 2566
1596,990002568,A 2567
1587,990002569,A 2568
1599,990002570,A 2569
1588,990002571,A 2570
1588,990002572,A 2571
1588,990002573,A 2572
1588,990002574,A 2573
1593,990002575,A 2574
1588,990002580,A 2579; AA 2579
1588,990002581,A 2580; AA 2580
1590,990002582,A 2581; AA 2581
1591,990002583,A 2582
1591,990002584,A 2583
1592,990002585,A 2584
1596,990002587,A 2586
1592,990002590,A 2589; AA 2589
1593,990002591,A 2590
1593,990002592,A 2591
1599,990002593,A 2592; AA 2592
1595,990002597,A 2596
1597,990002598,A 2597
1598,990002599,A 2598; AA 2598
1598,990002600,A 2599
1598,990002601,A 2600; AA 2600
1599,990002602,A 2601
1599,990002603,A 2602
1600,990002605,A 2604
1600,990002606,A 2605
1571,990002610,A 2610
1576,990002611,A 2611
1582,990002612,A 2612
1588,990002613,A 2613
1596,990002614,A 2614; AA 2614
1587,990002617,A 2617
1587,990002619,A 2619
1600,990002620,A 2620
1572,990002896,A 2903; AA 2903
1595,990002901,A 2909
1557,990002962,A 2979
1560,990002963,A 2980
1564,990002964,A 2981
1564,990002965,A 2982; AA 2982
1566,990002966,A 2983
1559,990002967,A 2984
1564,990002968,A 2985
1569,990002969,A 2986
1589,990002988,B 20
1570,990002990,B 22
1579,990002991,B 23
1580,990002992,B 24
1585,990002993,B 25
1588,990002994,B 26
1588,990002995,B 27
1589,990002996,B 28
1593,990002997,B 29; BB 29
1594,990002998,B 30
1594,990002999,B 31
1596,990003000,B 32
1596,990003001,B 33
1597,990003002,B 34
1570,990003004,B 36
1572,990003005,B 37
1572,990003006,B 38
1579,990003007,B 39
1587,990003008,B 40
1594,990003009,B 41
(1581),990003491,B 538
[1552],990003662,B 722; BB 722
1564,990003663,B 723
1565,990003664,B 724
1569,990003665,B 725
1570,990003674,B 735
1576,990003675,B 736
1578,990003676,B 737; BB 737
1580,990003677,B 738
1595,990003678,B 739
1586,990003679,B 740
1587,990003680,B 741
1589,990003681,B 742; BB 742
1554,990003715,B 777
1594,990003723,B 785
1595,990003737,B 799
1598,990003738,B 800
1599,990003739,B 801
1597,990003750,B 812
1597,990003752,B 814
1598,990003753,B 815
1598,990003754,B 816
1599,990003755,B 817
[1600],990003762,B 824
1596,990003773,B 835
1558,990003814,B 879
1560,990003815,B 880
1569,990003838,B 903; BB 903
1582,990003839,B 904
1582,990003840,B 905
1585,990003841,B 906
1596,990003851,B 916
1599,990003858,B 923
1594,990003861,B 926
1581,990003862,B 927
1586,990003863,B 928; BB 928
1552,990003886,B 951
1600,990003979,B 1151
1582,990003981,B 1153
1573,990003982,B 1154
1585,990004053,B 1228
1585,990004054,B 1229
1598,990004055,B 1230
1587,990004056,B 1231
1588,990004057,B 1232
1598; (1599),990004058,B 1233
1599,990004059,B 1234
1591,990004061,B 1236
1567,990004063,B 1238
1578,990004064,B 1239
1594,990004098,B 1281
1598,990004099,B 1282
1574,990004105,B 1288
1558,990004241,B 1437
1558,990004243,B 1439
1558,990004244,B 1440
1558,990004246,B 1442
1558,990004247,B 1443
1553,990004249,B 1445
1559,990004250,B 1446
1559; (1558),990004251,B 1447
1568,990004309,B 1509; BB 1509
18 juin 1556,990004493,B 1697
1599,990004495,B 1699
1593,990004501,B 1705
1599,990004502,B 1706
