ID,Incipitnr,PIKaDo 823,PIKaDo 824
127569, 1.6.1, c;6/8, 
127569, 1.8.1, c;3/8, 
127639, 1.1.1, c;c, 
127639, 1.2.1, c;c, 
127639, 1.3.1, c;c, 
127639, 1.6.1, c;c, 
127766, 1.1.1, 3/8;2/4, 
128134, 1.2.1, c;3/8, 
128134, 1.5.1, c;c, 
128134, 1.8.1, c;3/8, 
128862, 1.3.1, c;c/, 
128862, 1.7.1, c;c/, 
128862, 1.11.1, c;c/, 
128863, 1.2.1, c;c/, 
128964, 1.2.1, c;2/4, 0
130038, 1.1.1, c;3/2, 
130038, 1.2.1, c;c/, 
130065, 1.1.1, c;3/2, 
130065, 1.2.1, c;c/, 
130067, 1.3.1, c;3/2, 
130088, 1.1.1, c;c, 
130088, 1.2.1, c;c, 
130088, 1.3.1, c;c, 
130088, 1.4.1, c;3/4, 
130127, 1.1.1, c;c, 
130127, 1.2.1, c;3/4, 
130127, 1.3.1, c;c, 
130191, 1.2.1, c;2/4, 
130205, 1.1.1, c;c, 
130205, 1.2.1, c;3/8, 
130248, 1.4.1, c;c, 
130248, 1.5.1, c;c/, 
130270, 1.1.1, c;c/, 
130270, 1.2.1, c;c/, 
130270, 1.3.1, c;3/4, 
130270, 1.4.1, c;c/, 
130333, 1.2.1, c;c, 
130337, 1.2.1, c;12/8, 
130342, 1.2.1, c;3/4, 
130348, 1.4.1, c;c, 
130349, 1.6.1, c;3/8, 
130356, 1.1.1, c;c, 
130356, 1.3.1, c;c, 
130365, 1.4.1, c;3/8, 
130366, 1.2.1, c;c, 
130369, 1.2.1, c;c/, 
130403, 1.1.1, c;c;4/2, 
130403, 1.3.1, c;c/, 
130404, 1.1.1, c;4/2, 
130406, 1.1.1, c;4/2, 
130406, 1.3.1, c;4/2, 
130414, 1.1.1, c;4/2, 
130415, 1.1.1, c;4/2, 
130590, 1.1.1, c;4/2, 
130614, 1.1.1, c;c, 
130614, 1.15.1, c;c, 
130614, 1.16.1, c;c, 
130614, 1.19.1, c;c, 
130718, 1.1.1, c;c, 
132024, 1.1.1, c;c, 
132024, 1.2.1, c;c, 
132269, 1.1.1, c;c, 
132286, 1.2.1, c;c/, 
135037, 1.2.1, c;c, 
135474, 1.1.1, c;2, 2/2
135638, 1.1.1, c;c, 
135638, 1.5.1, c;c, 
135653, 1.1.1, c;c, 
136066, 1.1.1, c;c, 
136066, 1.2.1, c;c/, 
136066, 1.4.1, c;3/8, 
137342, 1.10.1, c;4/2, 
137876, 1.1.1, 3/4;2/4, 
139019, 1.1.1, c;4/2, 
139211, 1.1.1, c;c, 
139220, 1.21.1, c;c, 
139314, 1.1.1, c;c, 
139349, 1.1.1, c;3/4, 
139349, 1.2.1, c;3/4, 
139349, 1.4.1, c;12/8, 
139632, 1.1.1, c;12/8, 
139853, 1.2.1, c;c, 
139902, 1.3.1, c;c, 
139911, 1.2.1, c;c, 
139921, 1.2.1, c;3/4, 
139933, 1.1.1, c;c, 
139976, 1.4.1, c;c/, 
140055, 1.2.1, 3/4;c, 
140059, 1.2.1, 3/4;c, 
140064, 1.2.1, 2/4;6/8, 
140184, 1.1.1, 2/4;6/8, 
140235, 1.2.1, c;c/, 
140258, 1.2.1, c;c, 
140285, 1.7.1, c;3/4, 
140329, 1.1.1, c;c, 
140444, 1.1.1, c;c, 
140511, 1.2.1, c;3/4, 
140607, 1.7.1, c/;c, 
140708, 1.4.1, c;c/, 
140726, 1.3.1, c;12/8, 
140931, 1.1.1, 3/4;c/, 
140935, 1.1.1, 3/4;c, 
140936, 1.1.1, 3/4;c, 
141023, 1.2.1, c;c/, 
141064, 1.2.1, c;c, 
141067, 1.2.1, c;3/4, 
141334, 1.2.1, c;c/, 
141990, 1.3.1, c;3/4, 
142020, 1.1.1, c;4/2, 0
142020, 1.2.1, c;4/2, 
142020, 1.3.1, c;4/2, 
142020, 1.4.1, c;4/2, 
142020, 1.6.1, c;4/2, 
142037, 1.4.1, c;c, 
142037, 1.11.1, c;3/4, 
142245, 1.5.1, c;c, 
142629, 1.1.1, c;3/4, 
100016679, 1.1.1, 6/8;c, 
100016791, 1.1.1, 2/4;c, 
100028921, 1.1.1, 3/4;c, 
100029055, 1.1.1, 6/8;2/4, 
100029055, 1.1.2, 6/8;2/4, 0
100029062, 1.1.2, 3/4;6/8, 
100029069, 1.1.1, c/;3/4, 
100198248, 1.1.1, c/;c/, 0;0
100198252, 1.1.1, c;c, 0;0
110000354, 1.2.1, 2/2;3/4;2/2, 
110000354, 1.3.1, 4/4;3/8;4/4;2/2, 
110000354, 1.4.1, 2/2;3/4;2/2;3/8;2/2, 
110000354, 1.5.1, 3/4;3/8;2/2;3/8, 
110000354, 1.6.1, 4/4;3/8;2/2, 
110000354, 1.7.1, 4/4;2/2;3/4;4/4;4/4;3/4, 
110000963, 1.2.1, 4/4;4/4, 
110000963, 1.3.1, 4/4;4/4;3/4;3/4;4/4, 
110001433, 1.1.1, c/;3/2, 3/1
110002738, 1.1.1, c;3/8, 3/8
110002738, 1.1.2, c;3/8, 3/8
110002739, 1.4.1, c;2/4, c
110002739, 1.4.2, c;2/4, c
110002742, 1.3.1, c;2/4, 
140000046, 1.5.1, 3/4;2/4, 
140000058, 1.8.1, 2/2;3/4, 
140000084, 1.8.1, 2/4;c, 
140000103, 1.1.1, c/;2/4;c/, 
150200980, 1.1.2, c;3/4, 
150201053, 1.1.1, 3/4;4/4, 
150201055, 1.1.1, 4/4;3/4;4/4, 
150201230, 1.1.1, 4/4;3/8, 
150201344, 1.1.1, 4/4;4/2, 
150201346, 1.1.1, 2/4;3/4, 
150201368, 1.1.1, 3/4;4/4, 
150201457, 1.1.1, 4/4;12/8;4/4, 
150201605, 1.1.1, 3/4;4/4, 
150201714, 1.1.1, 4/4;2/2, 
150201905, 1.4.1, 3/4;4/4, 
150202256, 1.2.1, 2/4;4/2, 
150202350, 1.1.1, 4/4;4/4;3/4, 
150202361, 1.1.1, 4/2;3/2, 
150202366, 1.1.1, 3/4;3/4;4/4, 
150202390, 1.1.1, 2/4;3/8, 
150202390, 1.4.1, 2/4;3/8, 
150202405, 1.2.1, 6/8;3/8, 
150202407, 1.1.1, 3/4;2/4, 
150202416, 1.1.1, 4/4;3/4, 
150202431, 1.4.1, 4/4;3/8, 
150202542, 1.1.1, 2/4;3/4, 
150202598, 1.1.1, 4/4;3/4, 
150202616, 1.2.1, 3/4;4/4, 
150202621, 1.1.1, 4/4;3/8;4/4, 
150202627, 1.1.1, 3/4;4/4, 
150202630, 1.1.1, 4/4;3/4, 
150202636, 1.1.1, 3/4;3/2, 
150202724, 1.1.1, 4/4;4/2, 
150202727, 1.1.1, 4/4;3/2, 
150202730, 1.1.1, 3/4;4/4, 
150202852, 1.1.1, 3/4;4/4, 
150203120, 1.1.1, 3/4;4/4, 
150203299, 1.1.1, 3/4;4/4, 
150203452, 1.1.1, 4/4;4/4;3/2, 
150203453, 1.3.1, 4/2;3/2, 
150203455, 1.1.1, 4/4;3/4, 
150203614, 1.1.1, 3/8;4/4, 
150203637, 1.2.1, 2/4;4/4, 
150203715, 1.1.1, 3/4;4/4, 
150203777, 1.1.1, 3/2;4/2;3/2, 
150203820, 1.1.1, 3/4;4/4;3/4, 
150203914, 1.1.1, 4/4;3/4;4/4, 
150204354, 1.1.1, 4/4;3/4, 
150204419, 1.5.1, 4/4;3/8, 
150205381, 1.6.1, 3/4;4/4, 
150205390, 1.6.1, 3/4;4/4, 
150205498, 1.1.1, 3/4;4/4, 0
150205676, 1.1.1, 4/2;2/2, 0
150207048, 1.1.1, 4/4;4/4;3/4, 
150207069, 1.1.1, 4/2;3/2, 
150207091, 1.1.1, 3/4;2/4, 
150207101, 1.1.1, 4/4;3/4, 
150207114, 1.1.1, 2/4;3/4, 
170000019, 1.2.1, c;6/8, 
170000035, 1.2.1, c;3/4, 
170000064, 1.2.1, c;2/4, 
170000118, 1.2.1, c;3/4, 
170000158, 1.2.1, c;2/4, 
170000160, 1.1.1, c;3/4, 
180000090, 1.1.1, 3/4;c, 
180000097, 1.1.1, c;c/, 
180000098, 1.1.1, 3/4;c, 
180000100, 1.1.1, 3/4;c/, 
180000106, 1.2.1, c;c/, 
180000119, 1.2.1, 2/4;c, 
180000129, 1.2.1, 2/4;c, 
190004471, 1.2.1, 3/4;3/4, 
190004719, 1.1.1, c;3/2, 
190004931, 1.1.1, c;3/1, 
190005044, 1.1.1, c/;3/1, 
190005044, 1.1.2, c;3/1, 
190005059, 1.1.1, c/;3/1, 
190005066, 1.1.1, c;3/1, 
190005090, 1.1.1, c/;3, 3/1
190005095, 1.1.1, c/;3, 3/1
190005107, 1.1.1, c;3, 3/1
190005767, 1.1.1, c;3/2, 3/2
190009285, 3.1.1, 3/4;c, 
190011143, 1.2.1, c/;3/4, 
190012404, 1.1.1, 4/2;c/, 
190012539, 1.1.1, c/;3/2, 
190012546, 1.1.1, c/;3/2, 0
190012548, 1.1.1, c/;3/2, 
190012567, 1.1.1, c/;3/2, 0
190012584, 1.1.1, c/;3/2, 
190012585, 1.1.1, 3/2;c/, 
190012611, 1.1.1, c/;3/2, 
190012650, 1.1.1, c/;3, 0;0
190012683, 1.1.1, c/;3/2, 0;0
190013056, 1.1.1, c/;3, 0
190013086, 1.1.1, c/;3, 
