ID,Term,Alternativ
3000047,Ensembles (voc.),Vokalensembles
3000057,Psalms,Psalmen
3000074,Writings,Schriften
3000084,Dancing songs,"Tanzlieder
Chansons à danser"
3000090,Spagnolettas,"Españoletas
Spagnolite"
3000091,Bergamascas,"Bergamasken
Pargamasche
Bergamaskertänze"
3000099,Opéra-ballets,Ballet heroïque
3000100,Scales (inst./voc.),Tonleiterübungen (instr./vok.)
3000102,Arpeggios (inst.),Arpeggien (instr.)
3000118,Cotillions,"Kotillons
Contredanses françaises
Cotillons"
3000133,Scherzos (inst.),Scherzi (instr.)
3000134,Keyboard pieces,""
3000136,Choruses,"Chöre
Cori"
3000147,Jeux,Dramatische Spiele
3000150,Verbunkos,"Verbuválás
Werbunk"
3000157,"Masses (cantus firmus-, paraphrase-, parody masses)","Imitation masses
Parody masses
Paraphrase masses
Cantus firmus Messen
Paraphrase Messen
Parodiemessen
Messen (Cantus firmus-, Paraphrase-, Parodiemessen)
Cantus firmus masses"
3000162,Rondos (voc.),"Rondeaux (voc.)
Rondos (vok.)"
3000166,Rounds (voc.),Rondes de table
3000169,Rounds (dances),""
3000170,In Nomine (inst.),""
3000172,After-dances,"Proportze
Nachtänze
Doubles
Proportio"
3000174,Sicilianas (voc.),""
3000176,Choreae,""
3000180,Sicilianas (dances/inst.),"Siciliani
Ciciliani
Siciliennes"
3000181,Battle music (voc.),"Battaglien (vok.)
Battaglias (voc.)"
3000184,Battle music (inst.),"Schlachtenmusik (instr.)
Battaglien (instr.)
Battaglias (instr.)"
3000188,Sprüche,Sangspruchdichtung
3000194,Redowas,"Rejdovák
Rejdovačka"
3000197,Csárdás,""
3000198,Lessons,"Lezioni
Leçons"
3000199,Chaconnes (dances),Chaconnes (Tänze)
3000200,Passacaglias (dances),Passacaglien (Tänze)
3000201,Continuo tutors,Generalbaßschulen
3000203,Theory of harmony,Harmonielehren
3000205,Solos (inst.),""
3000206,Mélodies,""
3003653,Carillon music,""
3004563,Two-steps,""
3005240,Benedictions,Benediktionen
3005579,Benediktinerdramen,""
3005779,Versus alleluiatici,""
3005848,Scherzi (voc.),Scherzi (vok.)
3005853,Words of consecration,"Einsetzungsworte
Verba consecrationis"
3006033,Boogie-woogies,""
3006036,Musicals,""
3006172,Schlager,""
3006204,Applausi musici,Singgedichte
3006295,One-steps,"Turkey trot
Grizzly bear
Bunny hug
Judy walk
Castle walk
Fish walk"
3006395,Tiranas,""
3006396,Masonic music,Freimaurermusik
3006398,Bicinia,""
3006399,Tricinia,""
3006400,Airs variés,""
3006401,Slovankas,Slowankas
3006405,Villanellas,"Villanelle
Villotte
Villanesce
Canzoni napolitani
Villanelles"
3007118,Ragtimes,""
3008294,Polskas,"Polske dans
Pålska"
3008569,Schuldramen,Schulopern
3008904,Pop songs,""
3011416,Minnesang,""
3011527,Rumbas,""
3011528,Librettos,""
3011529,Swing,""
3011533,Intermezzos (stage),Intermezzi (stage)
3011993,Cancans,""
3012097,Hannakisch,Hanácké tance
3012099,Morescas,"Moriscas
Moriskentänze"
3012102,Morris dances,""
3012104,Retiradas,""
3012106,Trezzas,""
3012498,Rosarios,""
3012499,Gozos,Goigs
3012725,Farandoles,""
3016132,Atti di speranza,Actus spei
3016133,Atti di carità,"Actus amoris
Actus caritatis"
3016134,Atti di desiderio,Actus desiderii
3016135,Atti di fede,Actus fidei
3016251,Prefaces,"Präfationen
Praefationes"
3016400,Transcriptions,Transkriptionen
3016449,Comédie-ballets,""
3016506,Ballets de cour,""
3016596,Ariettes,"Arietten
Ariette"
3016741,Lundums,""
3016747,Christmas carols,"Kolędy
Weihnachtslieder
Noëls
Koledy"
3016804,Contemporary serious music,"Zeitgenössische ernste Musik
Contemporary art music"
3017272,Sousedskás,""
3017327,Habaneras,""
3017328,Besedas,""
3018457,Collaborative compositions,Gemeinschaftskompositionen
3019088,Jotas,Jotas aragonesas
3019093,Balitaos,""
3019096,Malagueñas,""
3019102,Muñeiras,""
3019103,Rondeñas,""
3019630,Treatises,Traktate
3020215,Tombeaux,""
3020218,Semi-operas,Semi-Opern
3021398,Music theory,Musiktheorie
3021688,Giromettas,""
3021784,Bagatelles,Bagatellen
3022243,Jodler,""
3022267,Banda de música,""
3022269,Joropos,""
3022307,Military music,Militärmusik
