ID, Model, Unicode-Character, Sample
Source,408000754,TABULATOR,"1r-1v, 1r,[TABULATOR]2r; 1r$801"
Source,408000757,TABULATOR,"; 2v, 2r, [TABULATOR]2r, 3r; 1v"
Source,408000762,TABULATOR,"5v, 4v-6v;[TABULATOR]7r-9r, 6r-"
Source,408000808,TABULATOR,"v; 8r-8v, [TABULATOR]8v$801=5"
Source,408000868,TABULATOR," 27v-28v, [TABULATOR]22v-23r, 2"
Source,408000869,TABULATOR," 28v-29v, [TABULATOR]23r-23v, 2"
Source,408000898,TABULATOR,{DnE}/4F  [TABULATOR] $rB|b$tAl
Source,408000899,TABULATOR,4A8F-/=2/ [TABULATOR] $rF$tAlma
Source,408000900,TABULATOR,{8BAAG}/4A[TABULATOR] $rA$tAve 
Source,408000918,TABULATOR,"7r; 7v-8v,[TABULATOR]7v-8v$801"
Source,408000931,TABULATOR,", 4v, 5r; [TABULATOR]8v-9v, 8r-"
Source,408000940,TABULATOR,"v, 10v-13v[TABULATOR]; 14r-17v,"
Source,408000943,TABULATOR,v; 24v-25r[TABULATOR]22r-22v[TABULATOR]17
Source,408000979,TABULATOR," 14v-15r; [TABULATOR]18r-18v, 1"
Source,408001036,TABULATOR,"r; 13v-16r[TABULATOR]12v-15r, 1"
Source,408001059,TABULATOR,"r, 3v-4r, [TABULATOR]3v; 3v, 3v"
Source,408001111,TABULATOR,", 14v-15r,[TABULATOR]17v$801="
Source,408001139,TABULATOR,"r; 1r-3v, [TABULATOR]1r-3v; 1r-"
Source,408001142,TABULATOR,"6v; 7r-8v,[TABULATOR]7r-8v$801"
Source,408001150,TABULATOR,"r, 1v-2r; [TABULATOR]1v, 1v$801"
Source,408001151,TABULATOR,"r, 1v-2r; [TABULATOR]1v, 1v$801"
Source,408001156,TABULATOR,"; 3r, 3r; [TABULATOR]2v, 2v$801"
Source,408001208,TABULATOR,"v, 3r-3v, [TABULATOR]3r, 3r;[TABULATOR]3r"
Source,408001232,TABULATOR,ccomodata.[TABULATOR] concertan
Source,408001240,TABULATOR,"v, 3r-3v; [TABULATOR]2v, 2v$801"
Source,408001254,TABULATOR,1$b1$c1$d [TABULATOR] Allegro m
Source,408001257,TABULATOR,"9v; 7v-8r,[TABULATOR]7v$801=5"
Source,408001268,TABULATOR," 13r-16r, [TABULATOR]15v-20r, 1"
Source,408001270,TABULATOR,"v, 5r-5v; [TABULATOR]1r, 1r$801"
Source,408001322,TABULATOR,"4r, 4r-4v,[TABULATOR]4r-4v$801"
Source,408001323,TABULATOR,"5r, 4v-5v,[TABULATOR]4v-5r$801"
Source,408001324,TABULATOR,"6r, 5v-6v,[TABULATOR]5v-6r$801"
Source,408001325,TABULATOR,"7v, 6v-7v,[TABULATOR]6v-7r$801"
Source,408001393,TABULATOR,die Engel.[TABULATOR]F. V. von 
Source,408001508,TABULATOR,Band V. | [TABULATOR][TABULATOR][TABULATOR] 63 Brav
Source,408001643,TABULATOR,Tempore | [TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR] Origi
Source,408001861,TABULATOR, et organo[TABULATOR][TABULATOR][TABULATOR][TABULATOR] ab auc
Source,408001980,TABULATOR,erlag von [TABULATOR][TABULATOR][TABULATOR] Gebr. C
Source,408002011,TABULATOR,gfrau | in[TABULATOR][TABULATOR][TABULATOR][TABULATOR] Kirche
Source,408002042,TABULATOR,gfrau | in[TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR] Kirch
Source,408002105,TABULATOR,er$c[1851][TABULATOR]$eEinsiede
Source,408002178,TABULATOR,nxFCG$oc$p[TABULATOR]'4E/AABB/4
Source,408002250,TABULATOR,eminars | [TABULATOR][TABULATOR][TABULATOR][TABULATOR] in Dil
Source,408002272,TABULATOR,eminars | [TABULATOR][TABULATOR][TABULATOR][TABULATOR] in Dil
Source,408002339,TABULATOR,ignet zur [TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR] angen
Source,408002352,TABULATOR,ignet zur [TABULATOR] angenehme
Source,408002363,TABULATOR,ignet zur [TABULATOR] angenehme
Source,408002442,TABULATOR,nxFCG$oc$p[TABULATOR]'4-EA''C/E
Source,408002682,TABULATOR,"org$bf.1r;[TABULATOR]1r, 1r, 1r"
Source,408002934,TABULATOR,le page:] [TABULATOR]Aria à Alt
Source,408002955,TABULATOR,E/'2E$ra$t[TABULATOR]Patrem omn
Source,408003182,TABULATOR,"2r-2v; 2r,[TABULATOR]3r-3v$801"
Source,408003183,TABULATOR,"2v; 2r-2v,[TABULATOR]4v-5r$801"
Source,408004727,TABULATOR,"1 and S 2,[TABULATOR]S and voca"
Source,408004868,TABULATOR,"r, 5r-10r,[TABULATOR]21r-25v$80"
Source,408004918,TABULATOR,"r, 4r, 5r,[TABULATOR]5r$801=5"
Source,409000032,TABULATOR,FC$o4/4$p [TABULATOR] '6G//''8.
Source,409000996,TABULATOR," Scherzo, [TABULATOR]Prestissim"
Source,409001172,TABULATOR,d[p.143:] [TABULATOR]Introducti
Source,409003650,TABULATOR,G}8.F6-$t [TABULATOR]Es gleicht
Source,409003651,TABULATOR,G}8.F6-$t [TABULATOR]Es gleicht
Source,409003652,TABULATOR,G}8.F6-$t [TABULATOR]Es gleicht
Source,410001038,TABULATOR," aus dem ""[TABULATOR]Antiphonar"
Source,410002673,TABULATOR,$oc$p=23/ [TABULATOR]'8.-6E8.G6
Source,410003152,TABULATOR,GD$o4/4$p [TABULATOR]'6-{GFG}{E
Source,410003644,TABULATOR,o3/4$p=7/ [TABULATOR]'4B''C'B/'
Source,410003955,TABULATOR,xF$o2/4$p [TABULATOR]''4GF/ED/8
Source,410006340,TABULATOR,d1922-2002[TABULATOR]$050037229
Source,450024178,TABULATOR,591  ##$a [TABULATOR]02/III.4.1
Source,450038658,TABULATOR, 14.2.1986[TABULATOR]002[TABULATOR]DE$802
Source,450057423,TABULATOR,00108856-9[TABULATOR]$xDigitize
Source,450062463,TABULATOR,"v, 1v-3r, [TABULATOR]1v-2v, 1v-"
Source,450062480,TABULATOR,"v, 7v, 10r[TABULATOR], 9r, 9r ,"
Source,450062483,TABULATOR,"v-7r, 11r,[TABULATOR]8v-9r, 11v"
