SIGNATUR,KOMPONIST,EINORDNUNGSTITEL,300$a,590$b,RISM-ID,INDEX
Mus.832,"Bach, Johann Christian","Demofoonte - Excerpts; S, orch; TerB 252/10",9 parts,"2, 2, 2, 2, 2, 1, 1, 1, 1f.",240001003,01
Mus.868,"Bach, Johann Christian","Orione - Excerpts; S, strings; WarB G 4/8",5 parts,"2, 2, 2, 2, 2f.",240001004,01
Mus.834,"Bach, Johann Christian","Zanaida - Excerpts; S, orch; WarB G 5/7",9 parts,"2, 2, 2, 2, 2, 1, 1, 1, 1f.",240001005,01
Mus.830,"Bach, Johann Christian","Concertos - cemb, strings; WarB C 50",3 parts,"4f., 2, 2f.",240001006,01
Mus.831,Collection,3 Marches - Arr; pf,short score: 2f.,"",240001007,01
Mus.831,Collection,3 Marches - winds,5 parts,"1, 1, 1, 1, 1f.",240001008,01
Mus.823,"Bach, Johann Christian",Overtures - TerB 272/3,8 parts,"2, 1, 2, 1, 1, 1, 1, 2f.",240001009,01
Mus.863,"Bach, Johann Christian",Overtures - TerB 280/16,10 parts,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1f.",240001010,01
Mus.865,"Bach, Johann Christian",La Giulia - Excerpts; WarB G 22,10 parts,"2, 2, 2, 2, 1, 1, 1, 1, 2, 2f.",240001011,01
Mus.866,"Bach, Johann Christian",Symphonies - WarB C 11,12 parts,"2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2f.",240001012,01
Mus.867,"Bach, Johann Christian","Concertos - fag, orch; WarB C 83",9 parts,"4, 4, 4, 4, 4, 2, 2, 1, 1f.",240001013,01
Mus.864,"Bach, Johann Christian",Symphonies - WarB C 10,10 parts,"2, 2, 2, 2, 1, 1, 1, 1, 2, 2f.",240001014,01
Mus.860,"Bach, Johann Michael","Heil dir beglücktes Land Heil Friedrich Franz f... - V (3), Coro, orch",score: 16f.,"",240001015,01
Mus.861,"Bach, Johann Michael","Welch eine feierliche Stille - S (4), Coro, orch; SchBBB deest",score: 18f.,"",240001016,01
Mus.888a,"Bach, Johann Sebastian",7 Sonatas - org; BWV 525,1 part,31f.,240001017,01
Mus.942,"Bach, Johann Sebastian",Sonatas - vl; BWV 1001,1 part,4f.,240001018,01
Mus.946 A1,"Bach, Wilhelm Friedemann","Lasset uns ablegen die Werke der Finsternis - V (4), Coro, orch; BR-WFB F 1",score: 12f.,"",240001019,01
Mus.946,"Bach, Wilhelm Friedrich Ernst",Andante - pf 4hands,1 part,2f.,240001020,01
Mus.5746,"Woschitka, Franz Xaver","Concertos - vlc, orch",9 parts,"10, 8, 8, 7, 7, 4, 4, 3, 2f.",240001021,01
Mus.984,"Baj, Tommaso",Miserere - Coro (2),score: 6f,"",240001022,01
"","","",7 parts,"4, 4, 4, 4, 4, 4, 4f.","",02
Mus.957 A,"Balicourt, Simon","Sonatas - fl, b",2 parts,"2, 2f.",240001023,01
Mus.959,"Banner, Giannantonio","Te Deum - Coro, strings",score: 7f.,"",240001024,01
"","","",13 parts,"4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2f.","",02
Mus.973,"Baptiste, Ludwig Albert Friedrich","Concertos - fl, vl (2), cemb; GroF 1727",4 parts,"2, 2, 2, 2",240001025,01
Mus.966,"Baron, Ernst Gottlieb","Trios - fl, vl, fag",3 parts,"2, 2, 2f.",240001026,01
Mus.975,"Bauer, Joseph Anton","Concertos - cemb, vl, b; DTB 16 deest",3 parts,"4, 2, 1f.",240001027,01
Mus.993,"Beck, Franz Ignaz","Symphonies - vl (2), vla, b; CalB 4",4 parts,"4, 4, 4, 4f.",240001028,01
