COUNTRY,ID
ES,30079600
ES,30079601
ES,30079602
ES,30079603
ES,30079604
ES,30079605
ES,30079606
ES,30079607
ES,30079608
ES,30079609
ES,30079610
ES,30079611
ES,30079612
ES,30079613
ES,30079614
ES,30079615
ES,30079617
ES,30079618
ES,30079619
ES,30079620
ES,30079622
ES,30079623
ES,30079624
ES,30079625
ES,30079626
ES,30079628
ES,30079629
ES,30079630
ES,30079631
ES,30079632
ES,30079633
ES,30079634
ES,30079638
ES,30079639
ES,30079640
ES,30079641
ES,30079642
ES,30079643
ES,30079644
ES,30079645
ES,30079646
ES,30079647
ES,30079648
ES,30079649
ES,30079650
ES,30079651
ES,30079653
ES,30079654
ES,30079655
ES,30079656
ES,30079657
ES,30079658
ES,30079660
ES,30079661
ES,30079662
ES,30079663
ES,30079664
ES,30079665
ES,30079666
ES,30079667
ES,30079668
ES,30079669
ES,30079670
ES,30079671
ES,30079672
ES,30079673
ES,30079674
ES,30079675
ES,30079676
ES,30079677
ES,30079678
ES,30079707
ES,30080141
ES,30080142
ES,30080143
ES,30080144
ES,30080145
ES,30080146
ES,30080148
ES,30080149
ES,30080155
ES,30080156
ES,30080157
ES,30080158
ES,30080159
ES,30080160
ES,30080162
ES,30080163
ES,30080166
ES,30080167
ES,30080168
ES,30080169
ES,30080170
ES,30080172
ES,30080174
ES,30080175
ES,30080178
ES,30080179
ES,30080181
ES,30080182
ES,30080183
ES,30080185
ES,30080186
ES,30080187
ES,30080188
ES,30080189
ES,30080190
ES,30080194
ES,30080195
ES,30080196
ES,30080198
ES,30080209
ES,30080211
ES,30080215
F,30003027
F,30003030
F,30003031
F,30003364
F,30003366
F,30005740
F,30005962
F,30005966
F,30006095
F,30006116
F,30006196
F,30006198
F,30006452
F,30006546
F,30006563
F,30006616
F,30006649
F,30061513
F,30061536
F,30061537
F,30061538
F,30061541
F,30061542
F,30061544
F,30061545
F,30061546
F,30061547
F,30061548
F,30061549
F,30070461
F,30070521
FI,30079211
FR,62671
FR,62871
FR,62938
FR,63115
FR,63169
FR,30070516
FR,30077395
FR,30078015
FR,30078104
FR,30078105
FR,30078108
FR,30078109
FR,30078110
FR,30078111
FR,30078112
FR,30078113
FR,30078115
FR,30078116
FR,30078117
FR,30078127
FR,30078128
FR,30078129
FR,30078130
FR,30078131
FR,30078132
FR,30078133
FR,30078134
FR,30078144
FR,30078146
FR,30078147
FR,30078182
FR,30078563
FR,30078809
FR,30078810
FR,30078814
FR,30078861
FR,30079216
FR,30079219
FR,30079220
FR,30079222
FR,30079223
FR,30079224
FR,30079225
FR,30079226
FR,30079227
FR,30079229
FR,30079230
FR,30080416
FR,30080439
GB,30077279
GB,30077287
GB,30077506
GB,30078025
GB,30078026
GB,30078561
GB,30078789
GB,30078872
GB,30078875
GB,30078877
GB,30078879
GB,30078880
GB,30078882
GB,30078883
GB,30078884
GB,30078885
GB,30078886
GB,30078887
GB,30078888
GB,30078889
GB,30078890
GB,30078894
GB,30078895
GB,30079275
GB,30079276
GB,30079482
GB,30079542
GB,30079813
GB,30079922
GB,30079925
HR,30077475
HR,30077542
HR,30077543
HR,30079406
HU,62959
HU,30078564
HU,30078939
ID,30079315
ID,30079316
IE,30078788
IE,30079269
IK,27621
IK,51916
IK,67121
IK,67316
IK,69427
IK,69455
IK,75578
IK,75637
IRLN,30061519
IRLN,30070462
IRLN,30070463
IRLN,30070464
IRLN,30070465
IRLN,30070467
IRLN,30070468
IRLN,30070469
IRLN,30070470
IRLN,30070471
IRLN,30070477
IRLN,30070479
IRLN,30070489
IRLN,30070495
IRLN,30070496
IRLN,30070497
IT,30077248
IT,30077323
IT,30077325
IT,30077326
IT,30077328
IT,30077329
IT,30077407
IT,30077408
IT,30077409
IT,30077733
IT,30077969
IT,30078033
IT,30078118
IT,30078119
IT,30078212
IT,30078719
IT,30078878
IT,30078961
IT,30079180
IT,30079189
IT,30079513
IT,30079567
ITALIEN,30078075
JP,30078956
KOR,30077769
KOREA,30078865
KR,30077548
KR,30077549
KR,30077550
KR,30077551
KR,30077552
KR,30077553
KR,30077554
KR,30077555
KR,30077556
KR,30077557
KR,30077558
KR,30077559
KR,30077560
KR,30077561
KR,30077562
KR,30077591
KR,30078906
KR,30078907
KR,30078908
KR,30078909
KR,30078910
KR,30078911
KR,30078912
KR,30079072
KR,30079073
KR,30079074
KR,30079075
KR,30079077
KR,30079078
KR,30079079
KR,30079080
KR,30079081
KR,30079082
KR,30079083
KR,30079084
KR,30079085
KR,30079086
KR,30079087
KR,30079088
KR,30079089
KR,30079090
KR,30079091
KR,30079092
KR,30079093
KR,30079094
KR,30079095
KR,30079096
KR,30079098
KR,30079099
KR,30079100
KR,30079101
KR,30079102
KR,30079103
KR,30079104
KR,30079105
KR,30079106
KR,30079107
KR,30079108
KR,30079109
KR,30079110
KR,30079111
KR,30079112
KR,30079113
KR,30079114
KR,30079115
KR,30079116
KR,30079117
KR,30079118
KR,30079119
KR,30079120
KR,30079122
KR,30079123
KR,30079124
KR,30079125
KR,30079126
KR,30079127
KR,30079128
KR,30079129
KR,30079130
KR,30079131
KR,30079132
KR,30079133
KR,30079134
KR,30079135
KR,30079136
KR,30079137
KR,30079138
KR,30079139
KR,30079141
KR,30079142
KR,30079143
KR,30079144
KR,30079145
KR,30079146
KR,30079147
KR,30079148
KR,30079149
KR,30079150
KR,30079151
KR,30079152
KR,30079156
KR,30079157
KR,30079158
KR,30079159
KR,30079160
KR,30079161
KR,30079162
KR,30079163
KR,30079305
LU,30077452
MC,30079407
MC,30079804
MX,30077538
MX,30080295
MX,30080432
NL,30077413
NL,30079246
NL,30079317
NL,30079319
NO,30080245
PH,30077460
PL,30077996
PL,30078039
PL,30078259
PL,30078864
PL,30078971
PL,30079140
PL,30079169
PL,30079248
PL,30079255
PL,30079296
PT,30077366
PT,30077367
PT,30077368
PT,30077369
PT,30077370
PT,30077371
PT,30077372
PT,30077373
PT,30077374
PT,30077375
PT,30077376
PT,30077377
PT,30077378
PT,30077379
PT,30077380
PT,30077381
PT,30077382
PT,30077383
PT,30077384
PT,30077385
PT,30077386
PT,30077387
PT,30077388
PT,30077477
PT,30077891
PT,30078902
PT,30078936
PT,30079342
PT,30079924
RU,62814
RU,62815
RU,62816
RU,62817
RU,30080128
SA,30003869
SE,30078562
SI,30078019
SUHH,31204
SUHH,31406
SUHH,37895
SUHH,39141
SUHH,39848
SUHH,41187
SUHH,46594
SUHH,46857
US,30077297
US,30077301
US,30077391
US,30077446
US,30077800
US,30078027
US,30078028
US,30078137
US,30078813
US,30078972
US,30079030
US,30079209
US,30079318
VE,30077439
VE,30077787
XA,45304
XA-AAAT,44071
XA-AAAT,44255
XA-AAAT,64735
XA-AAAT,76187
XA-AAAT,77197
XA-AAAT,78446
XA-AAAT,79553
XA-AAAT,85126
XA-AAAT,30076504
XA-AAAT,30080817
XA-AL,52055
XA-AR,30005722
XA-AT,831
XA-AT,4355
XA-AT,4477
XA-AT,8675
XA-AT,11881
XA-AT,17943
XA-AT,18781
XA-AT,20184
XA-AT,20222
XA-AT,23042
XA-AT,24416
XA-AT,27352
XA-AT,27796
XA-AT,28943
XA-AT,28944
XA-AT,28955
XA-AT,29700
XA-AT,29860
XA-AT,30501
XA-AT,30811
XA-AT,30897
XA-AT,30898
XA-AT,31096
XA-AT,31938
XA-AT,31952
XA-AT,33302
XA-AT,33816
XA-AT,33995
XA-AT,34094
XA-AT,34118
XA-AT,34398
XA-AT,35343
XA-AT,35389
XA-AT,35531
XA-AT,35722
XA-AT,35726
XA-AT,35732
XA-AT,36001
XA-AT,36221
XA-AT,36368
XA-AT,36720
XA-AT,36943
XA-AT,37112
XA-AT,37497
XA-AT,37743
XA-AT,37746
XA-AT,38000
XA-AT,38295
XA-AT,38333
XA-AT,38444
XA-AT,38875
XA-AT,39401
XA-AT,39687
XA-AT,40380
XA-AT,40628
XA-AT,40631
XA-AT,40756
XA-AT,40939
XA-AT,41130
XA-AT,41131
XA-AT,41132
XA-AT,41133
XA-AT,41150
XA-AT,41668
XA-AT,41877
XA-AT,42431
XA-AT,42560
XA-AT,42561
XA-AT,42590
XA-AT,42594
XA-AT,42595
XA-AT,42596
XA-AT,42691
XA-AT,42707
XA-AT,42805
XA-AT,42809
XA-AT,42811
XA-AT,42831
XA-AT,42856
XA-AT,42875
XA-AT,42876
XA-AT,42887
XA-AT,42888
XA-AT,42912
XA-AT,42915
XA-AT,42916
XA-AT,43280
XA-AT,43400
XA-AT,43485
XA-AT,43486
XA-AT,43674
XA-AT,43706
XA-AT,43791
XA-AT,43822
XA-AT,43988
