ID,031_q,031_m
100500538,t,S 1
100500545,t,S 1
100500556,t,A
100500556,t,vl 1
100500556,t,bc
100500558,t,S 1
100500559,t,A 1
100500559,t,bc
100500560,t,S 1
100500560,t,bc
100500561,t,A
100500561,t,vl 1
100500561,t,A
100500561,t,vl 1
100500561,t,V
100500567,t,A
100500580,t,A
100500580,t,T 1
100500580,t,S 1
100500580,t,A
100500581,t,S 1
100500581,t,S 1
100500581,t,S 1
100500583,t,S 1
100500583,t,vl 1
100500583,t,clno
100500583,t,S 1
100500583,t,vl 1
100500583,t,clno
100500584,t,bc
100500584,t,S 1
100500584,t,bc
100500585,t,S 1
100500585,t,vl 1
100500585,t,bc
100500585,t,S 1
100500585,t,vl 1
100500585,t,bc
100500586,t,S 1
100500586,t,bc
100500586,t,S 1
100500586,t,bc
100500588,t,S
100500588,t,bc
100500589,t,S
100500589,t,bc
100500589,t,S
100500589,t,bc
100500591,t,S 1
100500591,t,vl 1
100500591,t,bc 2
100500591,t,bc 2
100500591,t,A
100500591,t,vl 1
100500591,t,bc 2
100500592,t,S 1
100500592,t,bc
100500593,t,S solo
100500593,t,vl 1
100500593,t,bc 2
100500593,t,S solo
100500593,t,vl 1
100500593,t,bc 2
100500594,t,S 1
100500594,t,bc
100500594,t,S 1
100500594,t,bc
100500595,t,S 1
100500595,t,bc
100500595,t,S 1
100500595,t,bc
100500596,t,S 1
100500596,t,vl 1
100500596,t,bc
100500596,t,S 1
100500596,t,vl 1
100500596,t,bc
100500596,t,S 1
100500596,t,vl 1
100500596,t,bc
100500597,t,S
100500597,t,vl 1
100500597,t,bc
100500597,t,S
100500597,t,vl 1
100500597,t,bc
100500598,t,S 1
100500598,t,vl 1
100500598,t,bc
100500599,t,S
100500599,t,bc
100500599,t,S solo
100500599,t,bc
100500599,t,S 1
100500600,t,S 1
100500600,t,bc
100500600,t,S 1
100500600,t,bc
100500601,t,S 1
100500601,t,V
100500602,t,bc
100500602,t,bc
100500603,t,S 1
100500603,t,bc
100500603,t,S 1
100500603,t,bc
100500604,t,T 1
100500604,t,vl 1
100500605,t,T 1
100500605,t,bc
100500606,t,A
100500606,t,bc 2
100500609,t,S 1
100500609,t,bc
100500612,t,S 1
100500612,t,clno 1
100500612,t,bc 2
100500613,t,S
100500613,t,S 1 coro 3
100500613,t,bc
100500613,t,S 1 coro 3
100500613,t,bc
100500614,t,S 1
100500614,t,vl 1
100500614,t,bc 2
100500615,t,A
100500615,t,vl 1
100500615,t,bc 2
100500615,t,A
100500615,t,vl 1
100500615,t,bc 2
100500619,t,S 1
100500619,t,S 1 coro 3
100500619,t,V
100500619,t,T
100500619,t,S 1 coro 3
100500619,t,bc
100500621,t,S 1
100500621,t,vl 1
100500622,t,S 1
100500622,t,vl 1
100500622,t,bc
100500622,t,S 1
100500622,t,vl 1
100500622,t,bc
100500623,t,T 1
100500623,t,arp 1
100500623,t,T 1
100500623,t,arp 1
100500624,t,S 1
100500624,t,arp
100500625,t,S 1
100500625,t,arp
100500626,t,S
100500626,t,vl 1
100500626,t,bc
100500626,t,S
100500626,t,vl 1
100500626,t,bc
100500627,t,A
100500627,t,bc
100500628,t,S 1
100500628,t,bc
100500628,t,S 1
100500628,t,bc
100500629,t,S 1
100500629,t,bc
100500629,t,S 1
100500629,t,bc
100500629,t,S 1
100500629,t,bc
100500630,t,S 1
100500630,t,S 1
100500630,t,S 1
100500632,t,S
100500632,t,org
100500632,t,S
100500632,t,S
100500632,t,org
100500633,t,S
100500633,t,bc 2
100500633,t,T 1
100500633,t,bc 1
100500634,t,S 1
100500634,t,bc
100500635,t,S
100500635,t,A
100500635,t,clno 1
100500635,t,bc 3
100500638,t,S
100500638,t,bc 2
100500640,t,A
100500640,t,vl 1
100500640,t,bc 2
100500641,t,A 1
100500643,t,A
100500643,t,bc
100500643,t,A
100500643,t,bc
100500645,t,S 1
100500645,t,bc 2
100500646,t,S 1
100500646,t,bc
100500646,t,S 1
100500646,t,bc
100500647,t,A
100500650,t,A solo
100500650,t,vl
100500650,t,bc
100500651,t,S solo
100500653,t,T solo
100500653,t,bc
100500656,t,vl 1
100500656,t,S 1
100500656,t,vl 1
100500657,t,T 1
100500657,t,bc
100500663,t,S solo
100500663,t,vl 1
100500663,t,bc 2
100500670,t,S 1
100500670,t,S 1
100500670,t,S 1
100500671,t,S 1
100500671,t,S 1
100500671,t,S 1
100500672,t,S
100500672,t,S
100500672,t,S
100500673,t,S 1
100500674,t,S 1
100500674,t,S 1
100500674,t,S 1
100500674,t,S 1
100500675,t,S 1
100500675,t,S 1
100500675,t,S 1
100500675,t,S 1
100500676,t,S 1
100500676,t,S 1
100500676,t,S 1
100500676,t,S 1
100500677,t,S 1
100500677,t,S 1
100500677,t,S 1
100500677,t,S 1
100500678,t,S 1
100500686,t,A
100500686,t,A
100500686,t,S 1
100500686,t,A
100500687,t,S 1
100500687,t,S 1
100500687,t,S 1
100500687,t,S 1
100500688,t,S 1
100500689,t,S 1
100500690,t,S 1
100500690,t,S 2
100500690,t,S 1
100500690,t,S 1
100500691,t,S 1
100500692,t,S 1
100500697,t,S 1
100500697,t,A
100500697,t,S 1
100500697,t,S 1
100500697,t,A
100500707,t,S
100500707,t,A
100500728,t,S
100500728,t,A
100500728,t,S
100500733,t,S
100500733,t,S
100500733,t,S
100500733,t,S
100500733,t,S
100500733,t,S
100500734,t,S
100500738,t,T
100500765,t,S
100500765,t,A
100500765,t,S
100500765,t,S
100500765,t,S
100500765,t,S
100500765,t,S
100500765,t,S
100500765,t,S
100500765,t,S
100500766,t,S
100500766,t,A
100500766,t,S
100500766,t,S
100500766,t,S
100500766,t,S
100500766,t,S
100500766,t,S
100500766,t,S
100500766,t,S
100500767,t,S
100500767,t,A
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500772,t,S
100500773,t,T
100500843,t,S 1 coro 1
100500843,t,bc 2
100500843,t,S 1 coro 1
100500843,t,vl 1
100500843,t,bc 2
100500843,t,T 1 coro 1
100500843,t,vl 1
100500843,t,bc 2
100500844,t,S coro 1
100500844,t,s-chirimía 1
100500844,t,bc
100500844,t,S coro 1
100500844,t,bc
100500845,t,S
100500845,t,vl 1
100500845,t,bc
100500846,t,S coro 1
100500846,t,s-chirimía
100500846,t,bc 2
100500846,t,S coro 1
100500846,t,s-chirimía
100500846,t,bc 2
100500846,t,S coro 1
100500846,t,s-chirimía
100500846,t,bc 2
100500848,t,S coro 1
100500848,t,s-chirimía 1
100500848,t,V
100500848,t,s-chirimía 1
100500849,t,S 1 coro 1
100500849,t,bc
100500849,t,bc
100500850,t,S 1 coro 1
100500850,t,bc
100500850,t,S 1 coro 1
100500850,t,s-chirimía 1
100500850,t,bc
100500850,t,bc
100500850,t,S 1 coro 1
100500850,t,bc
100500851,t,S 1 coro 1
100500851,t,bc
100500853,t,org
100500853,t,S 1 coro 1
100500900,t,S 1 coro 1
