RISMID,596$a
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101373,RISM A/I
101377,RISM A/I
101378,RISM A/I
101380,RISM A/I
101381,RISM A/I
101382,RISM A/I
101383,RISM A/I
101384,RISM A/I
101385,RISM A/I
101387,RISM A/I
101388,RISM A/I
101389,RISM A/I
101390,RISM A/I
101391,RISM A/I
101392,RISM A/I
101393,RISM A/I
101394,RISM A/I
101395,RISM A/I
101396,RISM A/I
101403,RISM A/I
101404,RISM A/I
101428,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101445,RISM A/I
101461,RISM A/I
101461,RISM A/I
101488,RISM A/I
101488,RISM A/I
101489,RISM A/I
101489,RISM A/I
101489,RISM A/I
101490,RISM A/I
101490,RISM A/I
101490,RISM A/I
101490,RISM A/I
101490,RISM A/I
101490,RISM A/I
101527,RISM A/I
101527,RISM A/I
101527,RISM A/I
101527,RISM A/I
