00000990014146	[1796 or 1797?]	Year of publication from British Library catalogue.
00000990014164	[1796?]	Year of publication from British Library catalogue.
00000990014211	[1805?]	Year of publication from British Library catalogue.
00000990014212	[1805?]	Year of publication from British Library catalogue.
00000990014308	[1790?]	Year of publication from British Library catalogue.
00000990014479	[1799?]	Year of publication from British Library catalogue.
00000990014510	[1798]	Year of publication from British Library catalogue.
00000990014530	[1797]	Year of publication from British Library catalogue.
00000990014559	[1790?]	Year of publication from British Library catalogue.
00000990014725	[1805?]	Year of publication from British Library catalogue.
00000990014738	[between 1789 and 1798?]	Year of publication from British Library catalogue.
00000990015043	[1789?]	Year of publication from British Library catalogue.
00000990015478	[1763?]	Year of publication from British Library catalogue.
00000990015483	[1765?]	Year of publication from British Library catalogue.
00000990016161	[1812?]	Year of publication from British Library catalogue.
00000990016408	[ca.1805]	Year of publication from British Library catalogue.
00000991017260	[1805]	Year of publication from British Library catalogue.
00000991017290	[1790?]	Year of publication from British Library catalogue.
00000991017366	[1790?]	Year of publication from British Library catalogue.
00000991017603	[1794?]	Year of publication from British Library catalogue.
00000991016729	[1800?]	Year of publication from British Library catalogue.
00000992002195	[1694?]	Year of publication from British Library catalogue.
00000990016667	[1695?]	Year of publication from British Library catalogue.
00000990017191	[approximately 1800]	Year of publication from British Library catalogue.
00000990017230	[wm 1797]	Year of publication from British Library catalogue.
00000990018368	[ca. 1775]	Year of publication from British Library catalogue.
00000990018449	[1785]	Year of publication from British Library catalogue.
00000990018478	[1786?]	Year of publication from British Library catalogue.
00000990018685	[between 1772 and 1782?]	Year of publication from British Library catalogue.
00000990018730	[1751?]	Year of publication from British Library catalogue.
00000990200146	[1748?]	Year of publication from British Library catalogue.
00000990017503	[1760]	Year of publication from British Library catalogue.
00000990017621	[1800?]	Year of publication from British Library catalogue.
00000990017987	[between 1763 and 1776?]	Year of publication from British Library catalogue.
00000991018383	[1808?]	Year of publication from British Library catalogue.
00000990020291	[between 1812 and 1814?]	Year of publication from British Library catalogue.
00000990020685	[1719]	Year of publication from British Library catalogue.
00000990020760	[between 1792 and 1818?]	Year of publication from British Library catalogue.
00000990021082	[approximately 1751]	Year of publication from British Library catalogue.
00000990021103	[1776?]	Year of publication from British Library catalogue.
00000990021313	[between 1780 and 1790?]	Year of publication from British Library catalogue.
00000990021500	[1785?]	Year of publication from British Library catalogue.
00000990021700	[ca. 1790]	Year of publication from British Library catalogue.
00000992001637	[1795?]	Year of publication from British Library catalogue.
00000990022362	[between 1778 and 1795?]	Year of publication from British Library catalogue.
00000990022593	[1746?]	Year of publication from British Library catalogue.
00000990022640	[ca. 1780]	Year of publication from British Library catalogue.
00000990023103	[ca.1775]	Year of publication from British Library catalogue.
00000990019690	[1804]	Year of publication from British Library catalogue.
00000990023807	[1792?]	Year of publication from British Library catalogue.
00000990023919	[1739?]	Year of publication from British Library catalogue.
00000990023928	[1742?]	Year of publication from British Library catalogue.
00000990024016	[1789]	Year of publication from British Library catalogue.
00000990019984	[between 1806 and 1811]	Year of publication from British Library catalogue.
00000991018947	[between 1814 and 1816?]	Year of publication from British Library catalogue.
00000991019115	[ca. 1785]	Year of publication from British Library catalogue.
00000991019208	[1781]	Year of publication from British Library catalogue.
00000991019749	[179-]	Year of publication from British Library catalogue.
00000992001056	[1725?]	Year of publication from British Library catalogue.
00000990025521	[ca. 1760]	Year of publication from British Library catalogue.
00000990025522	[ca. 1760]	Year of publication from British Library catalogue.
00000990025637	[ca. 1730]	Year of publication from British Library catalogue.
00000990025638	[ca. 1730]	Year of publication from British Library catalogue.
00000990024518	[ca. 1725]	Year of publication from British Library catalogue.
00000990026481	[1738?]	Year of publication from British Library catalogue.
00000990026547	[between 1776 and 1782]	Year of publication from British Library catalogue.
00000992001009	[ca. 1720]	Year of publication from British Library catalogue.
00000990024605	[1731]	Year of publication from British Library catalogue.
00000990026695	[1800]	Year of publication from British Library catalogue.
00000990026724	[1791?]	Year of publication from British Library catalogue.
00000992000944	[ca. 1735]	Year of publication from British Library catalogue.
00000990026727	[1782]	Year of publication from British Library catalogue.
00000990026741	[approximately 1795]	Year of publication from British Library catalogue.
00000990026761	[1803]	Year of publication from British Library catalogue.
00000990027191	[1811?]	Year of publication from British Library catalogue.
00000990027234	[1786]	Year of publication from British Library catalogue.
