001	852$c	500$a	500$a	856$u	856$x	856$z
00000990025638	h.436.n.(2.)		Title information: Sonatas or chamber aires for a violin & bass,. London: Printed for and sold by I. Walsh ... and Ioseph Hare, [ca. 1730]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034194	Other	Description in British Library catalogue
00000990026724	Tyson P.M.13.		Title information: A favorite Italian cantata,. London: printed by Longman & Broderip, [1791?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034577	Other	Description in British Library catalogue
00000990027245	Tyson P.M.17.(5.)		Title information: Sinfonia per due violini, due oboi, due corni, due clarini, tympano, fagotto, obligato, viola con basso doppio. A Lyon: chez Guera; A Paris: au bureau du Journal de musique, [1778]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034534	Other	Description in British Library catalogue
00000990028051	g.455.l.		Title information: Six Favorite Sonatas for the Piano Forte or Harpsichord .. Op.xvii, etc. London: S. Babb, [c. 1785]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004401820	Other	Description in British Library catalogue
00000990028206	G.805.j.(30.)		Title information: William. London: Preston, [1795?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004401830	Other	Description in British Library catalogue
00000990028401	Tyson P.M.17.(3.)		Title information: The celebrated overture. London: printed by S. Babb, [ca. 1785]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034532	Other	Description in British Library catalogue
00000990029050	K.7.c.2.(2.)	"Imperfect: wanting the part for ""Violone o leuto"""	Title information: Dodeci sonate à trè, cioè due violini, e violone ò cembalo .. Opera prima. Amsterdam: Estienne Roger, [1703]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004403378	Other	Description in British Library catalogue
00000990029763	H.1660.uu.(40.)	Copy at H.1660.uu.(40.). Imperfect: damaged at foot, with some loss of type on both sides.	Title information: Address to health,. [London]: Bigg and Cox?, [1774]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013691085	Other	Description in British Library catalogue
00000990030587	H.1651.e.(1.)		Title information: A collection of songs sung by Mr. Vernon, Mrs. Weichsell, Mrs. Wrighten, and Mrs Warral, at Vaux-Hall-Gardens, 1777. London: Printed for C. and S. Thompson, [1777]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004419350	Other	Description in British Library catalogue
00000990033093	R.M.15.i.2.		Title information: Six Sonatas. The first three for a Trumpett, Houbois, or Violins, with Doubble Basses. The other three for two Flutes, and two Houbois: or two Violins with Doubble Basses. [Separate parts.]. Amsterdam: Stephen Roger, [1699]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004445880	Other	Description in British Library catalogue
00000990036303	H.345.ee.(3.)		Title information: The favourite songs in the opera call'd Alceste. London: printed for I. Walsh, [1744]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013778237	Other	Description in British Library catalogue
00000990036312	g.409.(7.)		Title information: Six Sonatas for two Violins and a Thorough Bass. London: Printed for C.& S. Thompson, [1765?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004465589	Other	Description in British Library catalogue
00000990036776	A.334.f.	Copy at A.334.f. Imperfect: wanting the title page, which has been supplied in ms., in the hand of William Barclay Squire.	Title information: [Orlandi Lassi musici præstantissimi Fasciculi aliquot sacrarum cantionum cum quatuor, quinque, sex & octo vocibus, antea quidem separatim excusi, nunc vero auctoris consensu in unum corps redacti. Bassus]. [Noribergae]: In Officina Gerlachiana, [Anno M.D. LXXXIX 1589]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013671223	Other	Description in British Library catalogue
00000990036992	K.11.e.6.	Imperfect: wanting the title page, which has been supplied in photographic facsimile	Title information: Troisieme livre d'orgue de Mr. Le Begue organiste du Roy et de St Mederic. Paris: grauez par le Sieur de Baussen, [1685]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004471467	Other	Description in British Library catalogue
00000990038508	h.1568.w.		Title information: Sei duo per violino e alto viola .. Œuvre X. Paris: Chez Mme Heina, [ca. 1780]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004492535	Other	Description in British Library catalogue
00000990038620	a.148.(4.)		Title information: Ouverture avec tous les airs à jouer de l'opera d'Isis. Amsterdam: Estienne Roger, [1710]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004495558	Other	Description in British Library catalogue
00000990038866	H.879.r.(5.)		Title information: Hymn. [London] (Bedford Row & St. Jame's [that is, James's] St., Piccadilly): printed & sold by H. Holland, [between 1786 and 1789?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004503171	Other	Description in British Library catalogue
00000990039138	d.117.o.	Copy at d.117.o. Imperfect: the basse-continues part only; lacking the title page and pp. 2-3, 6-7, 10-11, 14-15, 18-19, which have been provided in facsimile.	Title information: [Basse-continues du second livre de pieces de viole]. Paris: chéz l'autheur ... Marais le fils ... Hurel ... H. Foucault, 1701.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013134863	Other	Description in British Library catalogue
00000990040134	h.726.e.(7.)		Title information: Three Sonatas for the Harpsichord or Piano Forte with an Accompanyt for a Violin ad libitum .. Op. 1. [Parts.]. London: Longman & Broderip, [c. 1795]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004515284	Other	Description in British Library catalogue
00000990040301	e.565.i.(1.)		Title information: Six sonatas for the piano forte or harpsichord with an accompanyment for a violin. London: printed for the author, by Longman & Broderip, [between 1782 and 1787?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016454834	Other	Description in British Library catalogue
