990004183,B 1378,I. N. SS. T. D. A. Jesus vera panacea ad vitam aeternam ... Christliche Leichpredigt ... bey ... Leichbestatung der ... Frauen Margarethen von und geborner Zabiltitzin ... welche den 12. April ... des 1663. Iahrs ... entschlaffen
990004258,B 1458,"Mercure de France, juillet 1727"
990004260,B 1460,"Recueil général des opéra bouffons ... tome 2, 1770"
990004264,B 1464; BB 1464,Journal d'orgue à l'usage des paroisses et communautés religieuses ... No. 1
990004265,B 1465,"Journal d'orgue, No. 2"
990004266,B 1466; BB 1466,"Journal d'orgue, No. 3"
990004268,B 1468; BB 1468,"Journal d'orgue, No. 4"
990004269,B 1469; BB 1469,"Journal d'orgue, No. 5"
990004271,B 1471,"Journal d'orgue, No. 6"
990004272,B 1472; BB 1472,"Journal d'orgue, No. 7"
990004274,B 1474,"Journal d'orgue, No. 8"
990004275,B 1475; BB 1475,"Journal d'orgue, No. 9"
990004277,B 1477; BB 1477,"Journal d'orgue, No. 10"
990004278,B 1478; BB 1478,"Journal d'orgue, No. 11"
990004280,B 1480; BB 1480,"Journal d'orgue, No. 12"
990004324,B 1524; BB 1524,Christliche Leichpredigt ... Johann Andreä ... den 4. Maji 1659 ... entschlaffen
990004334,B 1534,"Abgrund der seligmachenden Liebe Gottes, bey ... Leichbestattung, der ...Fr. Elisabethen ... Wegerich, [Titel an:]"
990004442,B 1645,"Selige Sterb-Kunst, gezeiget ... bey ... Leich-Bestattung des ... Herrn Michael Sommerls ... welcher am 13. Octobr. anno 1675 ... entschlaffen"
990004443,B 1646,Leben und Labung in Creutzes-Tod ... als der ... Herr Iohan Georg Würth ... nachdem er den 19. April dieses 1676ten Iahrs ... entschlaffen ... zu ... Ruhe gebracht wurde ... betrachtet
990004444,B 1647,I. N. J. Gottes Gnaden-Angedencken ... bey ... Leich-Bestattung des ... Herrn Matthaei Schmollii ... welcher ... den 30. Julij dises 1675. Iahrs ... entschlaffen
990004596,B 1801,"Mercure de France, 1776"
990004729,B 1935,"Raccolta dell'harmonia, collezzione decima del magazino musicale"
990004947,B 2155,"Mercure de France, 1771"
990004971,B 2179,"Ouverturen für das Pianoforte aus 70 Opern gewählt, Nr. [handschriftlich:] 2"
990004980,B 2188; BB 2188,"Auswahl der vorzüglichsten Arien ... 3. Jg., Heft 4"
990004987,B 2196,"Auswahl der vorzüglichsten Arien ... 2. Jg., Heft 6"
990004996,B 2205,"Auswahl der vorzüglichsten Arien ... 1. Jg., Heft 2"
990004998,B 2207,"Auswahl der vorzüglichsten Arien ... 1. Jg., Heft 12"
990004999,B 2208,"Auswahl der vorzüglichsten Arien ... 2. Jg., Heft 7"
990005023,B 2235; BB 2235,"Ouvertures à 4 mains, No. XLII"
990005049,B 2262,"Journal d'Apollon, Jahrgang 6, Nr. 45/46"
990005057,B 2270,"Journal vocal composé d'airs, duos, trios ... 5|m|e année d'abonnement, No. 22"
990005104,B 2317,"Journal d'Apollon, Jahrgang 6, Nr. 45/46"
990005106,B 2319,"Journal d'Apollon, Jahrgang 6, Nr. 45/46"
990005112,B 2326,"Journal d'Apollon, Jahrgang 6, Nr. 45/46"
990005127,B 2341,"Journal des Ménestrels et des Trouvèrres, 2|e année, N|o 14"
990005131,B 2346,"Journal des Ménestrels et des Trouvèrres, 2|e année, N|o 35"
990005133,B 2348,"Le Ménestrel, Journal de chant avec accompagnement de piano ou harpe ... 1|r|e année, N|o. 31/32"
990005135,B 2350,"Journal d'Apollon, Jahrgang 6, Nr. 45/46"
990005136,B 2351,"Journal des dames, contenant des romances, rondeaux et polonaises, avec accompagnement de piano ou de harpe séparés"
990005139,B 2354,"Le Ménestrel, Journal de chant avec accompagnement de piano ou harpe ... 1|e|r année, N|o. 1"
990005151,B 2367,"Le Ménestrel, Journal de chant avec accompagnement de piano ou harpe ... 1|r|e année, N|o. 26"
990005159,B 2376; BB 2376,Opera overtures adapted for the harpsichord ... No. 6
990005166,B 2383,"Journal d'ariettes italiennes, 1781, N|o 65"
990005176,B 2394; BB 2394,"Opera Overtures, No. 1"
990005236,B 2456; BB 2456,"Raccolta dell'harmonia, collettione vigesima quinta del magazino musicale"
990005308,B 2535; BB 2535,"Raccolta d'arie, No. 124"
990005309,B 2536; BB 2536,"Raccolta d'arie, No. 125"
990005340,B 2567; BB 2567,"Journal d'ariettes italiennes, 1789, N|o 260"
990005344,B 2571; BB 2571,"Journal d'ariettes italiennes, 1789, N|o 258"
990005352,B 2579,"A periodical Italian song, No. 23"
990005412,B 2640; BB 2640,"Journal de musique pour les dames, No. 73"
990005534,B 2770,"Mercure de France, août 1754"
990005535,B 2771,"Mercure de France, juin 1753"
990005536,B 2772,"Mercure de France, 1752"
990005537,B 2773,"Mercure de France, juillet 1753"
990005538,B 2774,"Mercure de France, mars 1754"
990005569,B 2817,"Mercure de France, août 1739"
990005571,B 2821,"Mercure de France, janv. 1742"
990005600,B 2852,"Lyre d'Orphée, année 3, No. 4"
990005636,B 2888,"Feuille de Terpsichore, 15|e année, N|o 17"
990005637,B 2890,"Feuille de Terpsichore, 15|e année, N|o 14"
990005731,B 2986,"The Gentleman's Journal, sept. 1692"
990005735,B 2992,"The Gentleman's Journal, jan. and feb. 1694"
990005736,B 2993; BB 2993,"The Gentleman's Journal, oct. 1692"
990005738,B 2995,"The Gentleman's Journal, feb. 1692/1693"
990005740,B 2999; BB 2999,"The Gentleman's Journal, dec. 1692"
990005741,B 3000,"The Gentleman's Journal, july 1694"
990005742,B 3001; BB 3001,"The Gentleman's Journal, march 1693"
990005979,B 3238,"Desiderata Sancti Apostoli Pauli Analysis ... Leich-Predigt ... Leichbestattung deß ... Marx Christoff Welsers Rahts Eltern ... 1649, den 7. Tag Herbstmonats ... zu Ulm"
990005980,B 3239,"Eine christliche Leichpredigt, bey ... Leichbestattung deß ... Herrn M. Iohann Meckels ... welcher ... den 17. Tag des Weinmons ... verschieden"
990006034,B 3297; BB 3297,Christliche Leichpredigt ... bey dem Begräbniß deß ... Herrn Johann Balthasar von Brettin ... welcher Anno 1635. den 25. Iul. ... verblichen
990006147,B 3414,"M. G. Tengnagel, ""Het leven van Konstance"""
990006317,B 3603,"Mercure de France, avril 1776"
990006364,B 3683,"Mercure de France, juin 1738"
990006365,B 3684,"Le Mercure, fevr., 1723"
990006424,B 3745,Collection of 24 Italian songs
990006516,B 3839,"Mercure de France, oct. 1744"
990006648,B 3971,"Mercure de France, nov. 1741"
990006649,B 3972,"Mercure de France, déc. 1742"
990006650,B 3973,"Mercure de France, déc. 1741"
990006651,B 3974,"Mercure de France, mars 1741"
990006652,B 3975,"Mercure de France, mars 1742"
990006653,B 3976,"Mercure de France, mars 1740"
990006654,B 3977,"Mercure de France, oct. 1741"
990006655,B 3978,"Mercure de France, mai 1743"
990006656,B 3979,"Mercure de France, mai 1740"
990006657,B 3980,"Mercure de France, déc. 1741"
990006658,B 3981,"Mercure de France, août 1740"
990006659,B 3982,"Mercure de France, janv. 1743"
990006660,B 3983,"Mercure de France, juin 1744"
990006661,B 3984,"Mercure de France, nov. 1740"
990006662,B 3985,"Mercure de France, avril 1742"
990006663,B 3986,"Mercure de France, mai 1740"
990006664,B 3987,"Mercure de France, juillet 1742"
990006665,B 3988,"Mercure de France, mars 1733"
990006666,B 3989,"Mercure de France, déc. 1732"
990006667,B 3990,"Mercure de France, mars 1743"
990006668,B 3991,"Mercure de France, avril 1741"
990006669,B 3992,"Mercure de France, juin 1737"
990006670,B 3993,"Mercure de France, mai 1743"
990006671,B 3994,"Mercure de France, janv. 1742"
990006672,B 3995,"Mercure de France, sept. 1740"
990006673,B 3996,"Mercure de France, sept. 1741"
990006674,B 3997,"Mercure de France, janv. 1740"
990006675,B 3998,"Mercure de France, juin 1744"
990006676,B 3999,"Mercure de France, mars 1741"
990006677,B 4000,"Mercure de France, oct. 1742"
990006678,B 4001,"Mercure de France, nov. 1740"
990006679,B 4002,"Mercure de France, févr. 1740"
990006680,B 4003,"Mercure de France, nov. 1742"
990006681,B 4004,"Mercure de France, oct. 1740"
990006682,B 4005,"Mercure de France, mai 1740"
990006683,B 4006,"Mercure de France, juillet 1741"
990006684,B 4007,"Mercure de France, nov. 1741"
990006685,B 4008,"Mercure de France, juillet 1741"
990006686,B 4009,"Mercure de France, mars 1743"
990006687,B 4010,"Mercure de France, sept. 1732"
990006688,B 4011,"Mercure de France, avril 1741"
990006689,B 4012,"Mercure de France, avril 1734"
990006690,B 4013,"Mercure de France, févr. 1743"
990006691,B 4014,"Mercure de France, août 1740"
990006692,B 4015,"Mercure de France, oct. 1756"
990006693,B 4016,"Mercure de France, oct. 1742"
990006694,B 4017,"Mercure de France, juillet 1740"
990006695,B 4018,"Mercure de France, avril 1740"
990006696,B 4019,"Mercure de France, févr. 1742"
990006697,B 4020,"Mercure de France, août 1742"
990006698,B 4021,"Mercure de France, juillet 1740"
990006699,B 4022,"Mercure de France, déc. 1742"
990006700,B 4023,"Mercure de France, janv. 1733"
990006701,B 4024,"Mercure de France, sept. 1741"
990006702,B 4025,"Mercure de France, sept. 1740"
990006703,B 4026,"Mercure de France, sept. 1742"
990006704,B 4027,"Mercure de France, avril 1743"
990006718,B 4045; BB 4045,"Gentleman's Magazine, vol. XXIV"
990006727,B 4057; BB 4057,"The Lady's Magazine, Aug., 1782; The Lady's Magazine, Feb., 1797"
990006728,B 4061,"Royal Magazine, vol. 2"
990006729,B 4062; BB 4062,"The Universal Magazine, vol. 26"
990006735,B 4069; BB 4069,"Hunting songs, a choice collection ..., book I"
990006739,B 4073; BB 4073,"London Magazine, 1752; The Lady's Magazine, June, 1798"
990006745,B 4084; BB 4084,"The Lady's Magazine, Feb., 1789"
990006773,B 4120; BB 4120,"The London Magazine, 1747"
990006775,B 4127; BB 4127,"The London Magazine, 1748"
990006776,B 4128; BB 4128,"The Gentleman's Magazine, vol. 15"
990006779,B 4135; BB 4135,"The London Magazine, 1746"
990006780,B 4136; BB 4136,"The Universal Magazine, vol. 11"
990006781,B 4138,"The Universal Magazine, vol. 9"
990006782,B 4140; BB 4140,"The Gentleman's Magazine, vol. 25"
990006783,B 4141,"Christian's Magazine, May, 1760"
990006784,B 4148,"Royal Magazine, vol. 12"
990006785,B 4149,"Universal Visiter and Monthly Memorialist, June, 1756"
990006789,B 4156,"Universal Visiter and Monthly Memorialist, Aug., 1756"
990006790,B 4157,The Ladies Companion
990006791,B 4158; BB 4158,"London Magazine, 1749"
990006793,B 4162; BB 4162,"The Universal Magazine, vol. 5"
990006794,B 4166; BB 4166,"Gentleman's Magazine, vol. XXIV"
990006795,B 4167; BB 4167,"The Lady's Magazine, 1782, supplement"
990006796,B 4169,"Lady's Magazine, vol. V"
990006797,B 4170,"Royal Magazine, vol. 9"
990006820,B 4194,"Hibernian Magazine, Febr., 1797"
990006923,B 4301; BB 4301,Aller Gläubig-verstorbenen höchstes Haupt-Gut ... als ... Herrn Iohann Brechtoldts ... Leichnam dem III. Septembr. Anno 1668. ... beygesetzet wurde
990007051,B 4435,"The Lady's Magazine, Nov., 1790"
990007077,B 4464,"Royal Magazine, vol. 15"
990007103,B 4490; BB 4490,"Vita christianorum militia ... gezeiget bey ... Leichbestattung ... Martini Heckeri ... welcher am 25. Tage Martii, dieses 1653. Iahrs ... entschlaffen"
990007104,B 4491; BB 4491,Justa exequialia paedo-miltitziana ... uber dem ... Ableiben Georg Heinrich von Miltitz ... bey dessen ... Leichbegängnis am ... 27. Martii dieses 1653. Iahrs ... erkläret
990007107,B 4494,"Gaudium super gaudium, gezeiget ... bey ... Leichbestattung ... Justinae, des ... Herrn Johannis Seebachs ... Töchterleins, welches ... den 19. Decembr. dieses 1657. Iahrs ... verschieden"
990007108,B 4496,Ardentissimum piorum desiderium ... bey ... Begräbnis des ... Herrn Christophori Brunchorsten ... welcher den 26. Martii dieses 1664. Iahrs ... entschlaffen
990007110,B 4498,"Hertzerquickendes Laab- und Lebens-Trüncklein ... bey ... Leichbestattung Sabinae Elisabethae ... Aschenbachs ... d. 9. Octobr. An. 1668, [Titel an:]"
990007111,B 4500; BB 4500,Christiani militis praelium & praemium ... bey ... Leichbegängnis ... Herrn Friedrich Iobsten von Seebach ... welcher den 30. Maji ... des ... 1669sten Iahrs ... sein Leben ... geendiget ... vorgeleget
990007114,B 4503; BB 4503,Scala Jacobaea ... bey ... Leichbestattung der ... Fr. Annen Elisabethen Fabriciin ... als dieselbe den 9. Tag Maji dieses 1678ten Jahrs ... verschieden
990007201,B 4591,"Le tout ensemble, no. 31"
990007219,B 4609,"Nouveau Mercure galant, juillet 1678"
990007224,B 4614; BB 4614,"A dissertation on the rise, union and power ... of poetry and music"
990007448,B 4844,"New Universal Magazine, Dec., 1758"
990007488,B 4888,"Raccolta dell'harmonia, collezzione prima del magazino musicale"
990007492,B 4892,"Raccolta dell' harmonia, collezzione vigesima del magazino musicale"
990007495,B 4895; BB 4895,"Raccolta dell' harmonia, collezzione cinquantesima quarta del magazino musicale"
990007496,B 4896,"Raccolta dell' harmonia, collezzione cinquantesima quarta del magazino musicale"
990007529,B 4932,"Raccolta dell'harmonia, collezzione sessentesima decima del magazino musicale"
990007579,B 4982,"Leichpredigt bey Begräbnuß der ... Frauwen Clara geborene Brede ... von Hildessen ... geprediget ... 1580., den 1. Novembris"
990007623,B 5034; BB 5034,"Blumenkörbchen, Idas. Musikal. Beylage"
990007628,B 5043; BB 5043,"London Magazine, 1755"
990007629,B 5044; BB 5044,"The Universal Magazine, vol. 14"
990007630,B 5046; BB 5046,"Universal Magazine, vol. 15"
990007631,B 5047,"New Universal Magazine, 1755 und 1756"
990007634,B 5052,"Universal Magazine, 1755"
990007675,B 5094,"Mercure de France, mars 1765"
990007676,B 5095,"Mercure de France, déc. 1755"
990007677,B 5096,"Mercure de France, sept. 1754"
990007690,B 5109; BB 5109,"Piano-Forte Magazine, vol. VII, No. 5"
990007691,B 5110,"The British Military Library or Journal, 2 vol."
990008520,C 760,"Mercure de France, mars 1730"
990008521,C 761,"Mercure de France, avril 1733"
990008684,C 926,"Mercure de France, déc. 1734"
990008704,C 947,"Raccolta dell'Harmonia, collezzione trentesimonona del magazino musicale"
990008791,C 1035,"Mercure de France, févr. 1746"
990008843,C 1117,"Sadler's Wells collection, vol. 8"
990008846,C 1123; CC 1123,"The Gentleman's Magazine, vol. 24"
990008854,C 1137,"The New Universal Magazine, 1752"
990008857,C 1157,"The London Magazine, 1744"
990009116,C 1465,"Journal de musique étrangère, pour la guitare ou lyre, Heft 1; Journal de musique étrangère, pour la guitare ou lyre, Heft 2; Journal de musique étrangère, pour la guitare ou lyre, Heft 3; Journal de musique étrangère, pour la guit"
990009365,C 1907,"Mercure de France, sept. 1734"
990009366,C 1908,"Mercure de France, janv. 1741"
990009367,C 1909,"Mercure de France, mai 1735"
990009368,C 1910,"Mercure de France, juin 1741"
990009369,C 1911,"Mercure de France, août 1741; Mercure de France, déc. 1743"
990009370,C 1912,"Mercure de France, oct. 1741"
990009371,C 1913,"Mercure de France, janv. 1737"
990009375,C 1918,"Nouveau Mercure galant, nov. 1678"
990009376,C 1919,"Nouveau Mercure galant, janv. 1678"
990009412,C 1956,"Mercure de France, mars 1781"
990009686,C 2240,Raccolte d'arie ... No. 92
990009687,C 2241; CC 2241,"A collection of periodical Italian songs, No. 87"
990009690,C 2244; CC 2244,"Collection de musique sacrée, no. 40"
990009692,C 2246,"Répertoire d'airs italiens avec piano et orchestre, No. 11"
990009693,C 2247; CC 2247,In 13 Heften: Ouvertüre und 12 Nummern
990009731,C 2285,"Journal d'ariettes italiennes, N|o 276"
990009738,C 2292,"Auswahl von Arien mit Guitarre Begleitung, N|o 185"
990009775,C 2330,Ouvertüren für das Pianoforte aus 70 Opern ausgewählt ... Nr. 12
990009779,C 2334; CC 2334,"Raccolta d'arie, No. 106"
990009790,C 2345; CC 2345,"Raccolta d'arie, No. 127"
990009797,C 2352; CC 2352,"Raccolta d'arie, No. 128"
