RISM ID,240$a,240$o,240$k,650$a,690$a,690$n,240$m,383$b,599$a
850814211,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850672893,2 Sacred songs,,,Cantatas;Sacred songs,,,,,
850668993,2 Sacred songs,,,Introits;Graduals,,,,,
850674132,2 Sacred songs,,,Requiems;Responsories,,,,,
850668572,2 Sacred songs,,,Psalms;Canticles,,,,,
850668990,2 Sacred songs,,,Sacred songs,,,,,
850795880,2 Sacred songs,,,Sacred songs,,,,,
850672507,2 Sacred songs,,,Sacred songs,,,,,
850780434,2 Sacred songs,,,Sacred songs,,,,,
850609910,2 Sacred songs,,,Sacred songs,,,,,
850809883,2 Sacred songs,,,Graduals;Sequences,,,,,
850611366,2 Sacred songs,,,Sacred songs,,,,,
850638985,2 Sacred songs,,,Sacred songs,,,,,
850683915,2 Sacred songs,,,Sacred songs,,,,,"730: Christus factus est;Miserere (GK, ICCU-Import 2021-07)"
850692696,2 Sacred songs,,,Sacred songs,,,,,
850694744,2 Sacred songs,,,Sacred songs,,,,,
850770322,2 Sacred songs,,,Sacred songs,,,,,
850602427,2 Serenades,,,Serenades,,,,,
850609770,2 Sonatas,,,Sonatas,,,,,
850734795,2 Sonatas,,,Sonatas,,,,,
850687224,2 Sonatas,,,Sonatas,,,,,
850780710,2 Sonatas,,,Sonatas,,,,,
850687522,2 Sonatinas,,,Sonatas,,,,,
850667735,2 Symphonies,,,Symphonies,,,orch,,
850611555,2 Symphonies,,,Symphonies,,,orch,,
850612037,2 Symphonies,,,Symphonies,,,orch,,"2 verlinkte Einzeleinträge, kein HE (GK, ICCU-Import 2021-07)"
850669188,2 Tantum ergo,,,Hymns,,,,,
850777795,2 Terzets,,,Terzets (voc.),,,,,
850816489,2 Terzets,,,Terzets (voc.),,,"V (3), orch",,
850606852,2 Trios,,,Trios (inst.),,,,,
850602103,2 Trios,,,Trios (inst.),,,,,
850719964,2 Versets,,,Versets (inst.),,,,,"keine Einzeleinträge, Teil einer coll. (GK, ICCU-Import 2021-07)"
850602695,2 Vocal pieces,,,Vocal pieces,,,,,
850622409,2 Vocal pieces,,,Vocal pieces,,,,,
850734167,2 Vocal pieces,,,Vocal pieces,,,"V, pf",,
850808952,2 Waltzes,,,Waltzes,,,guit (2),op. 39/1,
850808971,2 Waltzes,,,Waltzes,,,guit (2),op. 39/1,
850609842,20 Keyboard pieces,,,Keyboard pieces,,,,,
850615122,20 Pieces,,,Pieces,,,,,
850781677,20 Versets,,,Versets (inst.),,,org,,
850816066,21 Arias,,,Arias (voc.),,,"V, orch",,
850620150,21 Cantatas,,,Cantatas,,,,,
850619628,22 Vocal pieces,,,Vocal pieces,,,,,
850618183,23 Sacred songs,,,Psalms;Canticles;Masses,,,,,
850611043,23 Trios,,,Trios (inst.),,,,,
850619049,24 Cantatas,,,Cantatas,,,,,
850779654,24 Exercises,,,Exercises (inst.),,,"cb, vl",,
850710786,24 Solfeggios,,,Solfeggios (inst./voc.),,,B,,
850673774,26 Psalms,,,Psalms,,,"V (X), org",,"Einzeleintrage nicht vorhanden  (GK, ICCU-Import 2021-07)"
850624609,26 Vocal pieces,,,Vocal pieces,,,,,
850781444,27 Sonatas,,,Sonatas,,,,,
850782056,27 Vocal pieces,,,Vocal pieces,,,,,
850802793,28 Offertories,,,Offertories,,,V (4),,
850617843,29 Cantatas,,,Cantatas,,,,,
850604904,29 Sonatas,,,Sonatas,,,,,
850811071,3 Airs,,,Airs (inst.),,,pf,,"keine Einzeleinträge  (GK, ICCU-Import 2021-07)"
850776795,3 Cantatas,,,Cantatas,,,,,
850769657,3 Cantatas,,,Cantatas,,,,,
850780647,3 Concertos,,,Concertos,,,,,
850675726,3 Concertos,,,Concertos,,,,,
850690517,3 Dances,,,Dances,,,,,
850692792,3 Dances,,,Dances,,,,,
850740171,3 Dances,,,Dances,,,,,
850674700,3 Dances,,,Dances,,,,,
850674950,3 Dances,,,Dances,,,,,
850675083,3 Dances,,,Dances,,,,,
850610242,3 Divertimentos,,,Divertimentos,,,,,
850780545,3 Duets,,,Duets (voc.),,,,,
850611611,3 Duets,,,Duets (inst.),,,,,
850782762,3 Duets,,,Duets (inst.),,,,,
850671092,3 Duets,,,Duets (inst.),,,,,
850602791,3 Duets,,,Duets (inst.),,,,,
850716843,3 Duets,,,Duets (inst.),,,,,
850777032,3 Duets,,,Duets (inst.),,,,,
850602851,3 Duets,,,Duets (inst.),,,,,
850606741,3 Duets,,,Duets (inst.),,,,,
850605478,3 Duets,,,Duets (inst.),,,,,
850601951,3 Duets,,,Duets (inst.),,,,,
850602116,3 Duets,,,Duets (inst.),,,,,
850602266,3 Duets,,,Duets (inst.),,,,,
850602015,3 Duets,,,Duets (inst.),,,,,
850674583,3 Duets,,,Duets (inst.),,,,,
850780396,3 Duets,,,Duets (inst.),,,,,
850610741,3 Duets,,,Duets (inst.),,,,,
850609728,3 Duets,,,Duets (inst.),,,,,
850609732,3 Duets,,,Duets (inst.),,,,,
850609739,3 Duets,,,Duets (inst.),,,,,
850609743,3 Duets,,,Duets (inst.),,,,,
850611531,3 Duets,,,Duets (inst.),,,,,
850611685,3 Duets,,,Duets (inst.),,,,,
850611689,3 Duets,,,Duets (inst.),,,,,
850612185,3 Duets,,,Duets (inst.),,,,,
850764771,3 Duets,,,Duets (inst.),,,,,
850781022,3 Duets,,,Duets (inst.),,,,,
850602020,3 Duets,,,Duets (inst.),,,,,
850611866,3 Duets,,,Duets (inst.),,,,,
850764454,3 Duets,,,Duets (inst.),,,,,
850606012,3 Duets,,,Duets (inst.),,,,,
850604279,3 Duets,,,Duets (inst.),,,,,
850816479,3 Fantasies,,,Fantasies,,,,,
850668576,3 Instrumental pieces,Arr,,Instrumental pieces,,,banda,op. 64,"Die Einzeleinträge haben als Komp. Anonymus, sind aber Werke von Grieg (GK, ICCU-Import 2021-07)"
850602365,3 Instrumental pieces,Arr,,Instrumental pieces,,,cemb,,
850782865,3 Instrumental pieces,,,Instrumental pieces,,,,,
