1	852$a	852$c	500$a1	500$a2	856$u	856$x	856$z
990043915	GB-Lbl	H.1771.ss.(15.)		Title information: Lied der Freiheit. [Lieder], Zweites Heft. Offenbach am Mayn: bey I. André, [1794]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01017763384	Other	Description in British Library catalogue.
990026761	GB-Lbl	F.426.ss.		Title information: Drey- und vierstimmige Gesaenge mit Begleitung des Piano-Forte. Leipzig: Bey Breitkopf & Härtel, [1803]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01014603101	Other	Description in British Library catalogue.
990017689	GB-Lbl	h.1790.k.(4.)		Title information: Sonate pour le clavecin ou piano forte, avec violon obligé, et basse ad libitum. Journal de musique pour les dames. A Offenbach sur le Mein: chez J André, [1795]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034112	Other	Description in British Library catalogue.
990053672	GB-Lbl	i.309.h.(6.)		Title information: Sonate. Journal de pieces de clavecin par différens auteurs, contenant des sonates avec ou sans accompagnement des duo, trio, quatuor, quinque, simphonies, simphonies concertantes et concerto. A Paris: chez Mr Boyer: et chez Made. Le Menu, [1787]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016735920	Other	Description in British Library catalogue.
991008424	GB-Lbl	H.1771.uu.(9.)		Title information: In questo bel soggiorno. Kings Theatre, Pantheon. Opera register. London: printed for the Proprietors, & sold at the Pantheon, by T. Skillern & G. Goulding, [1791?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01018278866	Other	Description in British Library catalogue.
990016596	GB-Lbl	f.895.ff.		Title information: Aria sr. kaiserl. Majestät Ferdinand III 36 Mahl verändert. Musée musical des clavecinistes = Museum für Klaviermusik. Wien: S.A. Steiner und comp., [1818]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01019064936	Other	Description in British Library catalogue.
990006769	GB-Lbl	E.1920.n.(1.)		Title information: Lyra britannica. New musical magazine. London: Printed for Harrison and Co., [1786?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01019145442	Other	Description in British Library catalogue.
990048218	GB-Lbl	H.345.dd.(2.)		Title information: A periodical Italian song [begins 'Tu sai che amante io sono']. [London]: printed by J. Bland, [ca. 1790]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013595066	Other	Description in British Library catalogue.
990042724	GB-Lbl	E.150.pp.(1.)		Title information: Duetto. Sorgi o Signore, e spargi. Raccolta d'arie. no. 217. In Vienna: presso Artaria e comp, [1797]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027936	Other	Description in British Library catalogue.
990042725	GB-Lbl	E.150.pp.(2.)		Title information: Aria. A te frá tanti affanni. Raccolta d'arie. no. 218. In Vienna: presso Artaria e comp, [1797]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027937	Other	Description in British Library catalogue.
