1,Ort (260$a),Jahr (260$c),"Quellenart, Umfang (300$a)",Format (300$c),Quellentyp (593$a),Zusätzl. Bemerkung (500$a),Lit. Fest (657$a)
850813673,,[1950-1999],1 vocal score,321 x 231 mm,Autograph manuscript,[Spartito],
850776754,,[1840-1860],22 parts,220 x 285 mm,Autograph manuscript,1 partitura,
850784212,,1863,1 score: 110 f.,266 x 350 mm,Autograph manuscript,,
850809106,,1970,score,320x220 mm,Autograph manuscript,Partitura,
850813081,,,,420 x 450 mm,Autograph manuscript,cl,
850659483,,[1841-1860],,445x287 mm,Autograph manuscript,conduttore,
850692903,,1797,parts,220x290 mm,Autograph manuscript,conduttore,
850781437,,1798,choirbook,325x235 mm,Autograph manuscript,libro corale,
850808646,,2005,score,320x232 mm,Autograph manuscript,Partitura,
850667308,,[1911-1940],1 short score,301x231 mm,Autograph manuscript,"non applic., partit. ristretta",
850601634,,[1711-1740],,245x325 mm,Autograph manuscript,non applicabile,
850601931,,[1791-1800],,230x310 mm,Autograph manuscript,non applicabile,
850602168,,[1801-1810],,230x305 mm,Autograph manuscript,non applicabile,
850603257,,[1811-1840],,230x300 mm.,Autograph manuscript,non applicabile,
850603258,,1816-1820,,230x320 mm,Autograph manuscript,non applicabile,
850603803,,[1791-1800],,230x325 mm,Autograph manuscript,non applicabile,
850603817,,[1811-1840],,235x325 mm,Autograph manuscript,non applicabile,
850604080,,[1791-1800],,230x310 mm,Autograph manuscript,non applicabile,
850604171,,[1791-1810],,,Autograph manuscript,non applicabile,
850604905,,[1791-1810],,220x290 mm,Autograph manuscript,non applicabile,
850604919,,[1811-1840],,225x315 mm,Autograph manuscript,non applicabile,
850604970,,[1841-1860],,235x315 mm,Autograph manuscript,non applicabile,
850605237,,[1791-1810],,230x320 mm,Autograph manuscript,non applicabile,
850605238,,[1791-1810],,220x290 mm,Autograph manuscript,non applicabile,
850605565,,[1791-1810],,225x320 mm,Autograph manuscript,non applicabile,
850606407,,[1811-1840],,235x310 mm,Autograph manuscript,non applicabile,
850606432,,[1801-1900],,225x320 mm,Autograph manuscript,non applicabile,
850606609,,1829,,220x310 mm,Autograph manuscript,non applicabile,
850607349,,29 agosto del 1836,,,Autograph manuscript,non applicabile,
850607354,,26 luglio del 1830,,225x310 mm.,Autograph manuscript,non applicabile,
850607522,,13 luglio del 1830,,220x310 mm,Autograph manuscript,non applicabile,
850607523,,1833,,225x325 mm,Autograph manuscript,non applicabile,
850607524,,1833-1834,,235x325 mm,Autograph manuscript,non applicabile,
850607693,,04 febbraio del 1819,,225x315 mm,Autograph manuscript,non applicabile,
850607695,,[1811-1840],,220x315 mm,Autograph manuscript,non applicabile,
850607698,,28 marzo del 1823,,225x310 mm,Autograph manuscript,non applicabile,
850607699,,[1811-1840],,225x310 mm,Autograph manuscript,non applicabile,
850607700,,25 settembre del 1825,,,Autograph manuscript,non applicabile,
850607863,,1822,,225x310 mm,Autograph manuscript,non applicabile,
850607864,,11 ottobre del 1822,,225x310 mm,Autograph manuscript,non applicabile,
