1,Ort (260$a),Jahr (260$c),"Quellenart, Umfang (300$a)",Format (300$c),Quellentyp (593$a),Zusätzl. Bemerkung (500$a),Lit. Fest (657$a)
850604785,,[1811-1840],,,,partitura,
850604795,,,1 score,220x290 mm,,partitura,
850604809,,,1 score,225x300 mm.,,partitura,
850604810,,[1791-1810],1 score,225x315 mm.,,partitura,
850604836,,[1811-1840],,225x310 mm.,,partitura,
850604837,,[1811-1840],,240x325 mm.,,partitura,
850604843,,[1811-1840],,240x330 mm.,,partitura,
850604844,,[1811-1840],1 score,235x325 mm.,,partitura,
850604846,,[1811-1840],,,,partitura,
850604850,,[1801-1810],,230x325 mm.,,partitura,
850604851,,[1811-1840],,230x325 mm.,,partitura,
850604852,,[1811-1840],,235x330 mm.,,partitura,
850604885,,[1811-1840],,215x320 mm,,partitura,
850604887,,[1811-1840],1 score,230x330 mm.,,partitura,
850604889,,[1791-1810],,220x310 mm.,,partitura,
850604890,,[1791-1810],,220x315 mm.,,partitura,
850604891,,[1811-1840],,215x295 mm.,,partitura,
850604895,,[1841-1860],,245x315 mm,,partitura,
850604896,,,score,245x315 mm,,partitura,
850604897,,,1 score,220x315 mm.,,partitura,
850604898,,,1 score,220x315 mm.,,partitura,
850604899,,,1 score,220x315 mm.,,partitura,
850604900,,,1 score,220x315 mm.,,partitura,
850604901,,,1 score,220x315 mm.,,partitura,
850604902,,,1 score,220x315 mm.,,partitura,
850604903,,,1 score,220x315 mm.,,partitura,
850604908,,[1811-1840],1 score,225x315 mm,,partitura,
850604909,,[1811-1840],1 score,235x320 mm,,partitura,
850604916,,[1841-1860],,230x325 mm,,partitura,
850604918,,[1791-1810],,230x325 mm.,,partitura,
850604976,,[1811-1840],1 score,235x325 mm,,partitura,
850604994,,[1791-1810],1 score,225x305 mm.,,partitura,
850604996,,[1791-1810],,205x295 mm,,partitura,
850605002,,[1811-1840],1 score,230x320 mm.,,partitura,
850605006,,[1811-1840],,225x310 mm.,,partitura,
850605008,,[1801-1810],,215x320 mm.,,partitura,
850605013,,[1811-1840],,190x265 mm.,,partitura,
850605017,,[1791-1810],,,,partitura,
850605036,,[1811-1840],1 score,220x320 mm,,partitura,
850605039,,[1811-1840],1 score,230x325 mm.,,partitura,
850605047,,[1811-1840],,235x320 mm.,,partitura,
850605053,,[1811-1840],,,,partitura,
850605056,,[1811-1840],,220x315 mm.,,partitura,
850605058,,[1841-1860],,230x310 mm,,partitura,
850605065,,[1811-1840],1 score,220x315 mm,,partitura,
850605066,,,1 score,220x315 mm.,,partitura,
850605081,,[1791-1810],,240x320 mm.,,partitura,
850605087,,[1811-1840],,225x300 mm,,partitura,
850605091,,[1811-1840],,245x345 mm,,partitura,
850605093,,[1811-1840],1 score,230x315 mm.,,partitura,
850605110,,[1811-1840],score,,,partitura,
850605111,,[1811-1840],,215x310 mm.,,partitura,
850605112,,[1811-1840],,235x315 mm.,,partitura,
850605133,,,1 score,235x320 mm.,,partitura,
850605137,,[1801-1900],,220x300 mm.,,partitura,
850605151,,[1761-1790],,225x300 mm,,partitura,
850605152,,,1 score,225x300 mm.,,partitura,
850605153,,,1 score,225x300 mm.,,partitura,
850605154,,,1 score,225x300 mm.,,partitura,
850605155,,,1 score,225x300 mm.,,partitura,
850605156,,,1 score,225x300 mm.,,partitura,
850605164,,[1801-1900],,210x295 mm,,partitura,
850605165,,[1791-1810],,235x330 mm,,partitura,
850605166,,[1811-1840],,220x310 mm.,,partitura,
850605170,,[1801-1810],,225x315 mm.,,partitura,
850605178,,[1811-1840],,230x320 mm,,partitura,
850605181,,[1811-1840],1 score,230x335 mm.,,partitura,
850605195,,[1811-1840],1 score,230x325 mm,,partitura,
850605211,,1835,,225x315 mm,,partitura,
850605221,,[1811-1840],,230x305 mm,,partitura,
850605227,,[1811-1840],,225x320 mm.,,partitura,
850605228,,1847,,230x320 mm,,partitura,
850605232,,[1791-1810],1 score,235x330 mm,,partitura,
850605240,,[1801-1900],1 score,305x220 mm.,,partitura,
850605241,,[1701-1800],1 score,230x320 mm.,,partitura,
850605243,,[1701-1800],,225x310 mm,,partitura,
850605250,,[1791-1810],,230x330 mm,,partitura,
850605257,,[1811-1840],,235x330 mm.,,partitura,
850605258,,[1811-1840],1 score,240x330 mm,,partitura,
850605259,,[1811-1840],1 score,250x335 mm,,partitura,
850605262,,[1811-1840],1 score,225x300 mm.,,partitura,
850605264,,[1801-1900],,240x330 mm,,partitura,
850605265,,[1801-1900],,230x320 mm.,,partitura,
850605266,,[1811-1840],1 score,230x320 mm,,partitura,
850605293,Roma ,[1811-1840],,230x295 mm,,partitura,
850605294,,,1 score,230x295 mm.,,partitura,
850605295,,,1 score,230x295 mm.,,partitura,
850605297,,[1811-1840],,,,partitura,
850605298,,[1811-1840],,225x300 mm.,,partitura,
850605305,,[1841-1860],,240x325 mm.,,partitura,
850605306,,[1841-1860],score,240x330 mm,,partitura,
850605311,,[1811-1840],score,230x330 mm.,,partitura,
850605312,,[1811-1840],,225x310 mm.,,partitura,
850605313,,[1811-1840],score,225x310 mm,,partitura,
850605319,,[1791-1810],1 score,375x245 mm,,partitura,
850605329,,,1 score,215x295 mm.,,partitura,
850605330,,[1811-1840],1 score,,,partitura,
850605331,Venezia ,10 settembre del 1843,,230x320 mm,,partitura,
850605335,,1811,,225x320 mm,,partitura,
850605336,,1812,,225x320 mm,,partitura,
850605337,,[1791-1810],,245x340 mm.,,partitura,
850605355,,[1811-1840],,225x315 mm.,,partitura,
850605374,,[1811-1840],,220x305 mm,,partitura,
850605386,,[1811-1840],,220x325 mm,,partitura,
850605416,,[1811-1840],score,225x325 mm.,,partitura,
850605417,,[1801-1900],,225x310 mm,,partitura,
850605418,,[1801-1900],,225x320 mm,,partitura,
850605420,,[1801-1900],,220x310 mm,,partitura,
850605421,,[1891-1910],,330x240 mm,,partitura,
850605422,,1812,,225x310 mm,,partitura,
850605423,,[1801-1900],1 score,290x220 mm,,partitura,
850605426,,[1811-1840],,225x315 mm.,,partitura,
850605440,,[1801-1900],,245x340 mm.,,partitura,
850605441,,[1811-1840],,225x290 mm,,partitura,
850605442,,,1 score,225x290 mm.,,partitura,
850605443,,[1701-1800],,220x310 mm,,partitura,
850605444,,,1 score,220x310 mm.,,partitura,
850605445,,,1 score,220x310 mm.,,partitura,
850605446,,,1 score,220x310 mm.,,partitura,
850605447,,,1 score,220x310 mm.,,partitura,
850605448,,,1 score,220x310 mm.,,partitura,
850605449,,,1 score,220x310 mm.,,partitura,
850605454,,[1811-1840],,240x340 mm.,,partitura,
850605456,,1835 circa,1 score,230x325 mm,,partitura,
850605484,,[1841-1860],,215x295 mm,,partitura,
850605485,,[1841-1860],,215x295 mm,,partitura,
850605488,,[1811-1840],,230x320 mm,,partitura,
850605490,,,1 score,230x325 mm.,,partitura,
850605491,,,1 score,230x325 mm.,,partitura,
850605492,,,1 score,230x325 mm,,partitura,
850605493,,,1 score,230x325 mm.,,partitura,
850605501,,,1 score,225x300 mm.,,partitura,
850605502,,,1 score,225x300 mm.,,partitura,
850605503,,,1 score,225x300 mm.,,partitura,
850605504,,,1 score,225x300 mm.,,partitura,
850605506,,[1811-1840],,220x310 mm,,partitura,
850605513,,[1811-1840],,230x320 mm.,,partitura,
850605531,,[1811-1840],1 score,220x305 mm,,partitura,
850605542,Pomponesco ,[1811-1840],1 score,225x310 mm,,partitura,
850605544,,[1811-1840],,210x295 mm,,partitura,
850605546,,[1841-1860],,240x310 mm,,partitura,
850605547,,[1841-1860],,260x350 mm,,partitura,
850605549,,[1801-1900],,240x330 mm.,,partitura,
850605550,,[1791-1810],,,,partitura,
850605551,,[1791-1810],,225x310 mm.,,partitura,
850605552,,[1801-1810],,230x325 mm.,,partitura,
850605553,,[1801-1810],1 score,230x325 mm,,partitura,
850605555,Vicenza ,[1841-1860],1 score,235x320 mm,,partitura,
850605558,,[1801-1900],,295x215 mm.,,partitura,
850605559,,,1 score,235x325 mm.,,partitura,
850605560,,,1 score,235x325 mm.,,partitura,
850605561,,,1 score,235x325 mm.,,partitura,
850605562,,,1 score,235x325 mm.,,partitura,
850605563,,[1811-1840],,230x325 mm,,partitura,
850605575,,[1811-1840],,225x325 mm,,partitura,
850605590,,,1 score,215x290 mm.,,partitura,
850605591,,,1 score,215x290 mm.,,partitura,
850605592,,,1 score,215x290 mm.,,partitura,
850605594,,[1801-1900],,240x340 mm.,,partitura,
850605595,,,1 score,240x340 mm.,,partitura,
850605596,,,1 score,240x340 mm.,,partitura,
850605597,,,1 score,240x340 mm.,,partitura,
850605598,,,1 score,240x340 mm.,,partitura,
850605599,,,1 score,240x340 mm.,,partitura,
850605600,,,1 score,240x340 mm.,,partitura,
850605601,,,1 score,240x340 mm.,,partitura,
850605602,,,1 score,240x340 mm.,,partitura,
850605603,,,1 score,240x340 mm.,,partitura,
850605604,,,1 score,240x340 mm.,,partitura,
850605605,,1849,,240x345 mm,,partitura,
850605612,,[1811-1840],,220x300 and 225x310 mm,,partitura,
850605622,,[1791-1810],,,,partitura,
850605629,,[1761-1790],,225x315 mm,,partitura,
850605640,,[1811-1840],,230x310 mm,,partitura,
850605643,,[1811-1840],,225x320 mm,,partitura,
850605644,,1835 circa,,220x330 mm.,,partitura,
850605645,,[1841-1860],,,,partitura,
850605646,,,1 score,215x295 mm.,,partitura,
850605647,,,1 score,215x295 mm.,,partitura,
850605648,,,1 score,215x295 mm.,,partitura,
850605652,,[1841-1860],,230x330 mm.,,partitura,
850605654,,[1801-1900],,235x330 mm.,,partitura,
850605660,,1812,1 score,235x270 mm,,partitura,
850605661,,[1811-1840],,225x300 mm,,partitura,
850605662,,,1 score,225x300 mm.,,partitura,
850605663,,,1 score,225x300 mm,,partitura,
850605664,,,1 score,225x300 mm,,partitura,
850605670,,[1811-1840],,220x310 mm.,,partitura,
850605685,,1785 circa,,230x330 mm.,,partitura,
850605687,,1792 circa,1 score,230x330 mm.,,partitura,
850605688,,1792 circa,,230x330 mm.,,partitura,
850605690,,[1811-1840],,220x315 mm,,partitura,
850605691,,[1811-1840],,220x315 mm,,partitura,
850605692,,[1811-1840],,235x300 mm,,partitura,
850605693,,[1811-1840],score,240x330 mm.,,partitura,
850605694,,[1791-1810],,235x320 mm.,,partitura,
850605695,,[1791-1810],,225x310 mm,,partitura,
850605700,,[1811-1840],,225x315 mm.,,partitura,
850605702,,[1811-1840],,230x325 mm,,partitura,
850605703,,[1811-1840],,,,partitura,
850605720,,,1 score,235x325 mm.,,partitura,
850605721,,[1811-1840],,240x320 mm,,partitura,
850605722,,[1811-1840],,230x310 mm,,partitura,
850605724,,[1791-1810],1 score,240x330 mm,,partitura,
850605737,,[1811-1840],,225x320 mm,,partitura,
850605741,,1805 circa,1 score,225x310 mm,,partitura,
850605742,,[1811-1840],,220x300 mm,,partitura,
850605751,,,1 score,215x290 mm.,,partitura,
850605752,,,1 score,215x290 mm,,partitura,
850605753,,[1811-1840],,215x265 mm.,,partitura,
850605754,,[1811-1840],,230x325 mm.,,partitura,
850605758,,,1 score,230x315 mm.,,partitura,
850605759,,,1 score,230x315 mm.,,partitura,
850605772,,[1811-1840],1 score,235x320 mm.,,partitura,
850605773,,[1811-1840],score,240x325 mm.,,partitura,
850605775,,[1801-1810],,240x320 mm.,,partitura,
850605776,,[1801-1810],,230x325 mm,,partitura,
850605779,,[1801-1810],1 score,230x325 mm,,partitura,
850605780,,[1801-1810],,225x305 mm.,,partitura,
850605781,,[1761-1790],,220x280 mm.,,partitura,
850605788,,[1791-1800],1 score,225x300 mm,,partitura,
850605792,,[1791-1810],1 score,230x330 mm.,,partitura,
850605793,,[1791-1810],,225x305 mm.,,partitura,
850605795,,[1841-1860],,220x310 mm.,,partitura,
850605797,,,1 score,235x330 mm.,,partitura,
850605805,,[1801-1900],,230x305 mm,,partitura,
850605807,,[1811-1840],,235x330 mm,,partitura,
850605810,,[1811-1840],1 score,240x325 mm,,partitura,
850605811,,[1811-1840],,240x325 mm,,partitura,
850605812,,[1811-1840],1 score,220x320 mm,,partitura,
850605816,,[1811-1840],,220x310 mm,,partitura,
850605819,,[1841-1860],,,,partitura,
850605824,,[1791-1810],,230x305 mm.,,partitura,
850605827,,[1791-1810],1 score,235x325 mm,,partitura,
850605830,,[1811-1840],,235x330 mm.,,partitura,
850605845,,[1791-1810],,225x305 mm.,,partitura,
850605846,,[1791-1810],,225x300 mm.,,partitura,
850605848,,1785 circa,,230x330 mm.,,partitura,
850605849,,,1 score,240x325 mm.,,partitura,
850605850,,,1 score,240x325 mm.,,partitura,
850605851,,,1 score,240x325 mm.,,partitura,
850605853,,[1791-1800],,220x300 mm.,,partitura,
850605854,,[1791-1800],,230x310 mm.,,partitura,
850605856,,[1791-1800],,230x325 mm.,,partitura,
850605857,,1812 circa,,,,partitura,
850605885,,,1 score,235x325 mm.,,partitura,
850605886,,,1 score,235x325 mm.,,partitura,
850605887,,,1 score,235x325 mm.,,partitura,
850605888,,,1 score,235x325 mm.,,partitura,
850605889,,,1 score,235x325 mm.,,partitura,
850605890,,,1 score,235x325 mm.,,partitura,
850605891,,,1 score,235x325 mm.,,partitura,
850605892,,,1 score,235x325 mm.,,partitura,
850605893,,,1 score,235x325 mm.,,partitura,
850605894,,,1 score,235x325 mm.,,partitura,
850605907,,[1801-1810],1 score,235x330 mm,,partitura,
850605908,,[1801-1810],,240x330 mm.,,partitura,
850605909,,[1801-1810],1 score,210x305 mm,,partitura,
850605910,,[1801-1810],,235x320 mm.,,partitura,
850605911,Mantova ,1805,1 score,235x310 mm,,partitura,
850605920,,14 ottobre del 1828,score,225x320 mm,,partitura,
850605924,,[1811-1840],1 score,215x290 mm,,partitura,
850605927,Brescia ,10 settembre del 1846,1 score,240x340 mm,,partitura,
850605928,,[1841-1860],,240x340 mm.,,partitura,
850605930,,[1801-1900],,240x335 mm,,partitura,
850605939,,[1841-1860],1 score,240x330 mm.,,partitura,
850605941,,[1801-1810],1 score,230x325 mm,,partitura,
850605942,,[1801-1810],,215x295 mm,,partitura,
850605944,,[1801-1810],,240x330 mm.,,partitura,
850605945,,[1801-1810],,230x330 mm,,partitura,
850605946,,[1801-1810],score,225x315 mm.,,partitura,
850605952,,[1811-1840],1 score,220x315 mm,,partitura,
850605955,,[1791-1800],,225x295 mm.,,partitura,
850605956,,[1761-1790],,225x300 mm.,,partitura,
850605957,,[1761-1790],,a) 225x305 mm; b) 220x285 mm,,partitura,
850605962,,[1801-1900],,225x310 mm,,partitura,
850605963,,,1 score,225x310 mm.,,partitura,
850605964,,,1 score,225x310 mm.,,partitura,
850605970,,,1 score,235x330 mm.,,partitura,
850605971,,,1 score,235x330 mm.,,partitura,
850605972,,,1 score,235x330 mm.,,partitura,
850605973,,,1 score,235x330 mm.,,partitura,
850605975,,[1811-1840],,220x315 mm.,,partitura,
850605976,,[1811-1840],,235x325 mm.,,partitura,
850605991,,[1801-1810],1 score,210x290 mm,,partitura,
850605995,,[1811-1840],,225x300 mm,,partitura,
850605996,,,1 score,225x300 mm.,,partitura,
850605997,,,1 score,225x300 mm.,,partitura,
850606013,,,1 score,240x325 mm.,,partitura,
850606014,,,1 score,240x325 mm.,,partitura,
850606015,,[1791-1800],,185x265 mm.,,partitura,
850606016,,[1811-1840],,230x320 mm,,partitura,
850606017,,[1811-1840],,240x335 mm,,partitura,
850606018,,[1811-1840],,225x310 mm,,partitura,
850606019,,[1811-1840],1 score,235x330 mm,,partitura,
850606020,,[1791-1810],score,220x305 mm,,partitura,
850606025,,[1801-1900],1 score,230x310 mm,,partitura,
850606041,,[1811-1840],,240x325 mm.,,partitura,
850606042,,[1811-1840],,240x325 mm.,,partitura,
850606043,,[1811-1840],1 score,240x325 mm.,,partitura,
850606045,,[1811-1840],,245x330 mm.,,partitura,
850606046,,[1811-1840],,235x330 mm.,,partitura,
850606048,,,1 score,235x325 mm.,,partitura,
850606049,,,1 score,235x325 mm.,,partitura,
850606050,,,1 score,235x325 mm.,,partitura,
850606051,,,1 score,235x325 mm.,,partitura,
850606052,,,1 score,235x325 mm.,,partitura,
850606053,,,1 score,235x325 mm.,,partitura,
850606054,,,1 score,235x325 mm.,,partitura,
850606055,,,1 score,235x325 mm.,,partitura,
850606056,,,1 score,235x325 mm.,,partitura,
850606057,,,1 score,235x325 mm.,,partitura,
850606058,,,1 score,235x325 mm.,,partitura,
850606068,,[1801-1900],,235x320 mm,,partitura,
850606069,,[1791-1810],1 score,245x315 mm.,,partitura,
850606070,,[1791-1810],,220x290 mm.,,partitura,
850606096,,,1 score,230x315 mm.,,partitura,
850606097,,,1 score,230x315 mm.,,partitura,
850606098,,,1 score,230x315 mm.,,partitura,
850606099,,,1 score,230x315 mm.,,partitura,
850606100,,,1 score,230x315 mm.,,partitura,
850606101,,,1 score,230x315 mm.,,partitura,
850606111,,[1801-1900],,230x310 mm.,,partitura,
850606121,,[1801-1900],,a) 220x305 mm; b) 225x315 mm,,partitura,
850606122,,[1761-1790],,230x325 mm.,,partitura,
850606123,,[1761-1790],,230x325 mm.,,partitura,
850606124,,[1811-1840],1 score,,,partitura,
850606126,,[1801-1900],,235x325 mm.,,partitura,
850606134,,[1811-1840],1 score,240x330 mm.,,partitura,
850606146,,[1761-1790],1 score,230x295 mm.,,partitura,
850606150,,[1811-1840],,235x320 mm,,partitura,
850606152,,[1811-1840],score,230x325 mm,,partitura,
850606153,,[1841-1860],,235x325 mm,,partitura,
850606154,,,1 score,235x325 mm,,partitura,
850606155,,,1 score,235x325 mm,,partitura,
850606156,,,1 score,235x325 mm,,partitura,
850606158,,[1811-1840],,220x315 mm.,,partitura,
850606165,,[1791-1810],score,240x325 mm.,,partitura,
850606166,,1809 circa,1 score,225x315 mm,,partitura,
850606173,,,1 score,240x325 mm.,,partitura,
850606174,,,1 score,240x325 mm.,,partitura,
850606175,,,1 score,240x325 mm.,,partitura,
850606176,,,1 score,240x325 mm.,,partitura,
850606177,,,1 score,240x325 mm.,,partitura,
850606178,,,1 score,240x325 mm.,,partitura,
850606179,,,1 score,240x325 mm.,,partitura,
850606180,,,1 score,240x325 mm.,,partitura,
850606181,,,1 score,240x325 mm.,,partitura,
850606191,,[1701-1800],1 score,300x225 mm,,partitura,
850606205,,[1811-1840],,235x310 mm,,partitura,
850606206,,[1811-1840],,235x325 mm,,partitura,
850606226,Ostiglia ,1813-1814,,235x325 mm,,partitura,
850606229,,[1811-1840],,225x320 mm,,partitura,
850606233,,[1811-1840],,,,partitura,
850606242,,,1 score,225x320 mm,,partitura,
850606245,,,1 score,225x320 mm.,,partitura,
850606254,,[1801-1900],1 score,235x305 mm.,,partitura,
850606279,,[1761-1790],,230x325 mm.,,partitura,
850606280,,[1761-1790],,230x320 mm.,,partitura,
850606281,,[1761-1790],,225x325 mm.,,partitura,
850606282,,[1761-1790],,230x325 mm.,,partitura,
850606283,,[1761-1790],,230x320 mm,,partitura,
850606284,,,1 score,230x320 mm.,,partitura,
850606285,,,1 score,230x320 mm.,,partitura,
850606292,,[1811-1840],,230x305 mm,,partitura,
850606305,,[1791-1810],,210x290 mm,,partitura,
850606306,,[1811-1840],,235x330 mm.,,partitura,
850606318,,[1801-1810],,235x330 mm,,partitura,
850606319,,[1811-1840],,215x310 mm,,partitura,
850606324,,[1811-1840],,230x310 mm.,,partitura,
850606327,,[1811-1840],score,230x320 mm,,partitura,
850606329,,[1811-1840],,240x330 mm.,,partitura,
850606342,,,1 score,240x325 mm.,,partitura,
850606343,,,1 score,240x325 mm.,,partitura,
850606344,,,1 score,240x325 mm.,,partitura,
850606345,,[1811-1840],,225x315 mm,,partitura,
850606346,,[1791-1810],,240x320 mm,,partitura,
850606347,,[1801-1810],,235x330 mm,,partitura,
850606348,,[1811-1840],,220x310 mm,,partitura,
850606349,,[1801-1810],,225x310 mm,,partitura,
850606350,,[1811-1840],,225x325 mm,,partitura,
850606362,,[1811-1840],1 score,220x315 mm.,,partitura,
850606372,,[1801-1900],,225x310 mm,,partitura,
850606383,,[1811-1840],,225x315 mm,,partitura,
850606384,,,1 score,225x315 mm.,,partitura,
850606385,,,1 score,225x315 mm.,,partitura,
850606391,,[1811-1840],,,,partitura,
850606395,,[1811-1840],1 score,225x295 mm,,partitura,
850606406,,[1801-1900],,220x320 mm.,,partitura,
850606409,,[1901-1910],1 score,335x250 mm.,,partitura,
850606411,,[1801-1900],,235x325 mm.,,partitura,
850606414,,[1861-1890],,235x330 mm,,partitura,
850606430,,[1791-1800],1 score,230x330 mm,,partitura,
850606447,,[1841-1860],,230x285 mm,,partitura,
850606450,,[1811-1840],,240x320 mm,,partitura,
850606451,,[1811-1840],,230x330 mm.,,partitura,
850606452,,[1811-1840],,225x310 mm,,partitura,
850606454,,[1811-1840],1 score,210x270 mm,,partitura,
850606461,,[1811-1840],,225x310 mm,,partitura,
850606469,,[1811-1840],,225x320 mm.,,partitura,
850606496,,,1 score,240x325 mm.,,partitura,
850606497,,,1 score,240x325 mm,,partitura,
850606498,,,1 score,240x325 mm.,,partitura,
850606499,,,1 score,240x325 mm.,,partitura,
850606500,,,1 score,240x325 mm.,,partitura,
850606501,,,1 score,240x325 mm.,,partitura,
850606502,,,1 score,240x325 mm.,,partitura,
850606503,,,1 score,240x325 mm,,partitura,
850606504,,,1 score,240x325 mm.,,partitura,
850606515,,[1761-1790],,235x320 mm.,,partitura,
850606520,,[1791-1810],,225x300 mm,,partitura,
850606521,,[1791-1810],,225x305 mm,,partitura,
850606522,,[1811-1840],,240x320 mm.,,partitura,
850606524,,[1791-1810],,235x295 mm.,,partitura,
850606525,,[1791-1810],,230x320 mm.,,partitura,
850606529,,[1791-1810],,240x320 mm.,,partitura,
850606557,,[1811-1840],,240x320 mm,,partitura,
850606558,,[1811-1840],,220x320 mm,,partitura,
850606559,,[1811-1840],,220x320 mm,,partitura,
850606568,,[1841-1860],,230x305 mm.,,partitura,
850606569,,[1841-1860],,200x275 mm.,,partitura,
850606583,,[1791-1800],,225x300 mm.,,partitura,
850606588,,1815,,210x300 mm,,partitura,
850606589,,,1 score,210x300 mm,,partitura,
850606590,,,1 score,210x300 mm,,partitura,
850606591,,[1791-1800],1 score,220x295 mm.,,partitura,
850606592,,[1761-1790],,220x315 mm.,,partitura,
850606595,,[1791-1810],,230x325 mm.,,partitura,
850606597,,[1791-1810],1 score,220x300 mm,,partitura,
850606601,,[1841-1860],,230x320 mm,,partitura,
850606613,,[1791-1810],,230x310 mm.,,partitura,
850606621,,[1811-1840],,235x325 mm,,partitura,
850606632,,[1811-1840],,225x310 mm,,partitura,
850606652,,[1801-1810],score,230x325 mm,,partitura,
850606662,,[1791-1810],,235x305 mm,,partitura,
850606663,,[1811-1840],,225x315 mm.,,partitura,
850606666,,[1811-1840],,225x310 mm,,partitura,
850606671,,[1811-1840],1 score,220x300 mm,,partitura,
850606674,,[1701-1800],,230x320 mm.,,partitura,
850606681,,[1811-1840],,230x305 mm,,partitura,
850606683,,[1811-1840],,235x325 mm.,,partitura,
850606687,,[1791-1810],,235x325 mm.,,partitura,
850606688,,[1791-1810],,,,partitura,
850606721,,,1 score,225x320 mm.,,partitura,
850606738,,[1801-1810],,235x305 mm,,partitura,
850606739,,[1801-1810],1 score,,,partitura,
850606756,,,1 score,225x310 mm.,,partitura,
850606757,,,1 score,225x310 mm,,partitura,
850606758,,,1 score,225x310 mm.,,partitura,
850606759,,,1 score,225x310 mm.,,partitura,
850606761,,,1 score,225x310 mm.,,partitura,
850606763,,,1 score,225x310 mm.,,partitura,
850606764,,,,225x310 mm.,,partitura,
850606777,,[1811-1840],1 score,240x325 mm,,partitura,
850606778,,[1841-1860],,230x320 mm.,,partitura,
850606779,,[1841-1860],,330x240 mm.,,partitura,
850606782,,[1811-1840],1 score,225x315 mm.,,partitura,
850606803,,[1811-1840],score,230x320 mm,,partitura,
850606804,,[1811-1840],,225x300 mm,,partitura,
850606820,,[1811-1840],,225x300 mm,,partitura,
850606821,,,1 score,230x325 mm.,,partitura,
850606822,,,1 score,230x325 mm.,,partitura,
850606833,,[1811-1840],score,,,partitura,
850606838,,[1811-1840],,220x310 mm.,,partitura,
850606839,,[1811-1840],,310x240 mm.,,partitura,
850606840,,[1811-1840],1 score,225x320 mm,,partitura,
850606855,,[1801-1900],1 score,240x325 mm.,,partitura,
850606856,,[1801-1900],,230x320 mm.,,partitura,
850606858,,,1 score,220x305 mm.,,partitura,
850606859,,,1 score,220x305 mm.,,partitura,
850606860,,,1 score,220x305 mm.,,partitura,
850606861,,,1 score,220x305 mm.,,partitura,
850606862,,[1811-1840],,320x235 mm.,,partitura,
850606863,,[1811-1840],,225x305 mm.,,partitura,
850606875,,[1811-1840],,,,partitura,
850606894,,[1811-1840],,230x320 mm.,,partitura,
850606902,,[1811-1840],,225x315 mm,,partitura,
850606904,,[1811-1840],score,225x305 mm.,,partitura,
850606909,,22 giugno del 1843,,230x320 mm,,partitura,
850606912,,[1801-1900],1 score,235x320 mm,,partitura,
850606925,,[1891-1910],,215x315 mm.,,partitura,
850606930,,[1791-1810],,230x295 mm.,,partitura,
850606986,,[1801-1900],,230x300 mm.,,partitura,
850606987,,,1 score,235x330 mm,,partitura,
850606988,,,1 score,235x330 mm.,,partitura,
850606991,,[1801-1900],,235x335 mm,,partitura,
850606995,,settembre del 1818,,240x330 mm,,partitura,
850606996,,[1811-1840],,235x320 mm.,,partitura,
850607001,,,1 score,165x225 mm.,,partitura,
850607002,,,1 score,165x225 mm.,,partitura,
850607003,,,1 score,165x225 mm.,,partitura,
850607004,,,1 score,165x225 mm.,,partitura,
850607005,,,1 score,165x225 mm.,,partitura,
850607006,,,1 score,165x225 mm.,,partitura,
850607007,,,1 score,165x225 mm.,,partitura,
850607008,,,1 score,165x225 mm.,,partitura,
850607009,,,1 score,165x225 mm.,,partitura,
850607010,,,1 score,165x225 mm.,,partitura,
850607011,,,1 score,165x225 mm.,,partitura,
850607012,,,1 score,165x225 mm.,,partitura,
850607013,,,1 score,165x225 mm.,,partitura,
850607014,,,1 score,165x225 mm.,,partitura,
850607024,,[1811-1840],,225x310 mm,,partitura,
850607026,,[1811-1840],,230x290 mm.,,partitura,
850607027,,[1811-1840],,240x310 mm,,partitura,
850607028,,[1811-1840],,,,partitura,
850607029,,[1811-1840],1 score,220x305 mm,,partitura,
850607037,,[1841-1860],1 score,235x330 mm.,,partitura,
850607073,,08 luglio del 1843,,230x320 mm,,partitura,
850607082,,[1811-1840],,225x310 mm.,,partitura,
850607159,,1812 circa,,225x320 mm.,,partitura,
850607160,,,1 score,235x330 mm.,,partitura,
850607161,,,1 score,235x300 mm.,,partitura,
850607162,,,1 score,235x330 mm.,,partitura,
850607163,,,1 score,235x330 mm.,,partitura,
850607164,,,1 score,235x330 mm.,,partitura,
850607165,,[1841-1860],,230x325 mm,,partitura,
850607166,,[1841-1860],1 score,330x240 mm.,,partitura,
850607167,,giugno del 1878,1 score,250x340 mm,,partitura,
850607175,,[1811-1840],,230x315 mm,,partitura,
850607176,,[1691-1710],1 score,,,partitura,
850607177,,,1 score,165x225 mm.,,partitura,
850607178,,,1 score,165x225 mm.,,partitura,
850607179,,,1 score,165x225 mm.,,partitura,
850607180,,,1 score,165x225 mm.,,partitura,
850607181,,,1 score,165x225 mm.,,partitura,
850607182,,,1 score,165x225 mm.,,partitura,
850607196,,[1811-1840],,220x290 mm,,partitura,
850607212,,[1841-1860],,235x320 mm.,,partitura,
850607273,,[1811-1840],,225x310 mm,,partitura,
850607317,,[1811-1840],,215x310 mm,,partitura,
850607324,,[1801-1900],,230x305 mm.,,partitura,
850607326,,,1 score,235x330 mm.,,partitura,
850607327,,,1 score,235x330 mm.,,partitura,
850607328,,,1 score,235x330 mm.,,partitura,
850607329,,,1 score,235x330 mm,,partitura,
850607330,,,1 score,235x330 mm,,partitura,
